from	to	weight
2565	2722	0.5
2565	2782	0.5
2565	2812	0.5
2565	2883	0.5
2565	2939	0.5
2565	2943	0.5
2565	3023	0.5
2565	3069	0.5
2565	3109	0.5
2565	3111	0.5
2565	3119	0.5
2565	3199	0.5
2565	3258	0.5
2565	3321	0.5
2565	3366	0.5
2565	3881	0.5
2722	2782	1.0
2722	2812	1.0
2722	2883	1.0
2722	2939	1.0
2722	2943	1.0
2722	3023	1.0
2722	3069	1.0
2722	3109	0.5
2722	3111	1.0
2722	3119	1.0
2722	3199	0.5
2722	3258	1.0
2722	3321	1.0
2722	3366	1.0
2722	3881	1.0
2782	2812	1.0
2782	2883	1.0
2782	2939	1.0
2782	2943	1.0
2782	3023	1.0
2782	3069	1.0
2782	3109	0.5
2782	3111	1.0
2782	3119	1.0
2782	3199	0.5
2782	3258	1.0
2782	3321	1.0
2782	3366	1.0
2782	3881	1.0
2812	2883	1.0
2812	2939	1.0
2812	2943	1.0
2812	3023	1.0
2812	3069	1.0
2812	3109	0.5
2812	3111	1.0
2812	3119	1.0
2812	3199	0.5
2812	3258	1.0
2812	3321	1.0
2812	3366	1.0
2812	3881	1.0
2883	2939	1.0
2883	2943	1.0
2883	3023	1.0
2883	3069	1.0
2883	3109	0.5
2883	3111	1.0
2883	3119	1.0
2883	3199	0.5
2883	3258	1.0
2883	3321	1.0
2883	3366	1.0
2883	3881	1.0
2939	2943	1.0
2939	3023	1.0
2939	3069	1.0
2939	3109	0.5
2939	3111	1.0
2939	3119	1.0
2939	3199	0.5
2939	3258	1.0
2939	3321	1.0
2939	3366	1.0
2939	3881	1.0
2943	3023	1.0
2943	3069	1.0
2943	3109	0.5
2943	3111	1.0
2943	3119	1.0
2943	3199	0.5
2943	3258	1.0
2943	3321	1.0
2943	3366	1.0
2943	3881	1.0
3023	3069	1.0
3023	3109	0.5
3023	3111	1.0
3023	3119	1.0
3023	3199	0.5
3023	3258	1.0
3023	3321	1.0
3023	3366	1.0
3023	3881	1.0
3069	3109	0.5
3069	3111	1.0
3069	3119	1.0
3069	3199	0.5
3069	3258	1.0
3069	3321	1.0
3069	3366	1.0
3069	3881	1.0
3109	3111	0.5
3109	3119	0.5
3109	3199	0.5
3109	3258	0.5
3109	3321	0.5
3109	3366	0.5
3109	3881	0.5
3111	3119	1.0
3111	3199	0.5
3111	3258	1.0
3111	3321	1.0
3111	3366	1.0
3111	3881	1.0
3119	3199	0.5
3119	3258	1.0
3119	3321	1.0
3119	3366	1.0
3119	3881	1.0
3199	3258	0.5
3199	3321	0.5
