BodySite	CumulativeDepth	GCFsDiscovered
Sebaceous_Oc	410644700.0	58
Sebaceous_Oc	434587622.0	61
Sebaceous_Oc	456808846.0	61
Sebaceous_Oc	478936308.0	62
Sebaceous_Oc	500390222.0	62
Sebaceous_Oc	521172816.0	68
Sebaceous_Oc	541679740.0	68
Sebaceous_Oc	561661710.0	69
Sebaceous_Oc	580931136.0	69
Sebaceous_Oc	599732100.0	69
Sebaceous_Oc	617218962.0	70
Sebaceous_Oc	633993956.0	71
Sebaceous_Oc	650428800.0	71
Sebaceous_Oc	666846356.0	72
Sebaceous_Oc	682037232.0	72
Sebaceous_Oc	696098472.0	73
Sebaceous_Oc	708358340.0	73
Sebaceous_Oc	720606816.0	74
Sebaceous_Oc	731054550.0	74
Sebaceous_Oc	737757668.0	74
Sebaceous_Oc	742338272.0	75
Sebaceous_Oc	745073914.0	75
Moist_Um	0.0	0
Moist_Um	51159320.0	15
Moist_Um	99146117.9999	24
Moist_Um	145750864.0	32
Moist_Um	188595132.0	41
Moist_Um	227861758.0	41
Moist_Um	266966162.0	43
Moist_Um	302346286.0	44
Moist_Um	337113634.0	52
Moist_Um	371464782.0	52
Moist_Um	405692746.0	54
Moist_Um	438864402.0	54
Moist_Um	468209414.0	54
Moist_Um	497400686.0	56
Moist_Um	526466612.0	57
Moist_Um	555419108.0	57
Moist_Um	583871914.0	58
Moist_Um	611154900.0	58
Moist_Um	635921044.0	58
Moist_Um	660186588.0	59
Moist_Um	683022796.0	63
Moist_Um	705286292.0	63
Moist_Um	726822872.0	72
Moist_Um	746690530.0	79
Moist_Um	766227190.0	84
Moist_Um	784086116.0	87
Moist_Um	800978798.0	92
Moist_Um	817740806.0	94
Moist_Um	831185600.0	94
Moist_Um	839964032.0	96
Moist_Um	846756950.0	98
Moist_Um	849714734.0	98
Moist_Um	851748164.0	98
Moist_Um	853580720.0	98
Moist_Na	0.0	0
Moist_Na	11843694.0	10
Moist_Na	19094060.0	15
Moist_Na	23854346.0	23
Moist_Na	28290474.0	30
Moist_Na	32668016.0	33
Moist_Na	36925118.0	34
Moist_Na	39657676.0	34
Moist_Na	42266864.0	35
Moist_Na	44632128.0	35
Moist_Na	46931630.0	35
Moist_Na	49086794.0	35
Moist_Na	51129614.0	35
Moist_Na	52504870.0	35
Moist_Na	53826336.0	35
Moist_Na	55005894.0	35
Moist_Na	55907246.0	36
Moist_Na	56794318.0	36
Moist_Na	57631374.0	36
Moist_Na	58324892.0	36
Moist_Na	58911954.0	37
Moist_Na	59379816.0	37
Moist_Na	59846112.0	37
Moist_Na	60267766.0	37
Moist_Na	60642940.0	37
Moist_Na	61017830.0	37
Moist_Na	61378180.0	37
Moist_Na	61710076.0	37
Moist_Na	61982282.0	37
Moist_Na	62178828.0	37
Sebaceous_Ba	0.0	0
Sebaceous_Ba	44837684.0	27
Sebaceous_Ba	85532607.9999	32
Sebaceous_Ba	124569876.0	36
Sebaceous_Ba	161835826.0	38
Sebaceous_Ba	194838468.0	39
Sebaceous_Ba	226482226.0	39
Sebaceous_Ba	256813144.0	39
Sebaceous_Ba	286435100.0	46
Sebaceous_Ba	316009846.0	47
Sebaceous_Ba	345542648.0	47
Sebaceous_Ba	373956906.0	50
Sebaceous_Ba	401911754.0	50
Sebaceous_Ba	428600654.0	52
Sebaceous_Ba	454915646.0	52
Sebaceous_Ba	480517730.0	52
Sebaceous_Ba	506040852.0	55
Sebaceous_Ba	531545854.0	56
Sebaceous_Ba	556222394.0	57
Sebaceous_Ba	580587338.0	58
Sebaceous_Ba	602215326.0	61
Sebaceous_Ba	623572790.0	63
Sebaceous_Ba	644327880.0	63
Sebaceous_Ba	661667752.0	63
Sebaceous_Ba	673111906.0	67
Sebaceous_Ba	684345948.0	68
Sebaceous_Ba	694619554.0	68
Sebaceous_Ba	704434122.0	71
Sebaceous_Ba	713382626.0	73
Sebaceous_Ba	721683268.0	76
Sebaceous_Ba	729009822.0	76
Sebaceous_Ba	734649808.0	76
Sebaceous_Ba	739510114.0	76
Sebaceous_Ba	743160116.0	76
