Strain_ID	Other_ID	Host_ID	Host_Category	Location	bioassay completed(Y/N)	included in bioassay analysis (Y/N)	genome sequenced (Y/N)	representative following 99% ANI dereplication	Genus
LK829	p3-SID1297	KHID98	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK830	p3-SID1139	KHID92	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK831	p3-SID1304	KHID108	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK832	p3-SID1332	KHID81	Healthy Skin	Alar crease	Y	Y	N	N	Micrococcus
LK833	p3-SID1211	KHID112	Healthy Skin	Alar crease	N	N	N	N	
LK834	p3-SID1127	KHID105	Healthy Skin	Nares	Y	Y	N	N	Staphylococcus
LK835	p3-SID1218	KHID112	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK836	p3-SID1314	KHID81	Healthy Skin	Alar crease	Y	Y	N	N	Dermacoccus
LK837	p3-SID1210	KHID112	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK838	p3-SID1142	KHID92	Healthy Skin	Back	Y	Y	N	N	Brevibacterium
LK839	p3-SID1222	KHID86	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK840	p3-SID1318	KHID108	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK842	p3-SID1144	KHID92	Healthy Skin	Back	N	N	N	N	
LK843	p3-SID1242	KHID103	Healthy Skin	Toe web space	Y	Y	N	N	Kocuria
LK844	p3-SID1207	KHID112	Healthy Skin	Alar crease	Y	Y	N	N	Dietzia
LK845	p3-SID1329	KHID81	Healthy Skin	Alar crease	Y	Y	N	N	Dietzia
LK846	p3-SID1202	KHID110	Healthy Skin	Umbilicus	N	N	N	N	
LK847	p3-SID1219	KHID86	Healthy Skin	Antecubital fossa	Y	Y	N	N	Micrococcus
LK848	p3-SID1115	KHID107	Healthy Skin	Back	Y	N	N	N	
LK849	p3-SID1279	KHID91	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK850	p3-SID1295	KHID98	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK851	p3-SID952	KHID94	Healthy Skin	Antecubital fossa	N	N	N	N	
LK852	p3-SID1161	KHID93	Healthy Skin	Volar forearm	N	N	N	N	
LK853	p3-SID1283	KHID91	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK854	p3-SID1232	KHID111	Healthy Skin	Toe web space	Y	Y	N	N	Kocuria
LK855	p3-SID1149	KHID89	Healthy Skin	Alar crease	Y	Y	N	N	Corynebacterium
LK856	p3-SID1212	KHID112	Healthy Skin	Alar crease	Y	Y	N	N	Corynebacterium
LK857	p3-SID1274	KHID88	Healthy Skin	Toe web space	Y	Y	N	N	Staphylococcus
LK858	p3-SID1206	KHID104	Healthy Skin	Alar crease	Y	Y	N	N	Klebsiella
LK859	p3-SID1191	KHID117	Healthy Skin	Antecubital fossa	N	N	N	N	
LK860	p3-SID1223	KHID117	Healthy Skin	Antecubital fossa	Y	Y	N	N	Rhodocococcus
LK861	p3-SID1280	KHID91	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK862	p3-SID1290	KHID97	Healthy Skin	Nares	Y	N	N	N	Micrococcus
LK863	p3-SID1214	KHID104	Healthy Skin	Alar crease	Y	Y	N	N	Micrococcus
LK864	p3-SID1204	KHID104	Healthy Skin	Alar crease	Y	Y	N	N	Bacillus
LK865	p3-SID1319	KHID108	Healthy Skin	Volar forearm	N	N	N	N	
LK866	p3-SID1239	KHID103	Healthy Skin	Toe web space	Y	Y	N	N	Kocuria
LK867	p3-SID1257	KHID103	Healthy Skin	Toe web space	N	N	N	N	
LK868	p3-SID1293	KHID117	Healthy Skin	Antecubital fossa	N	N	N	N	
LK869	p3-SID1213	KHID104	Healthy Skin	Alar crease	Y	Y	N	N	Klebsiella
LK870	p3-SID1229	KHID111	Healthy Skin	Toe web space	Y	Y	N	N	Brevibacterium
LK871	p3-SID1306	KHID108	Healthy Skin	Volar forearm	Y	Y	Y	Y	Corynebacterium
LK872	p3-SID1005	KHID116	Healthy Skin	Volar forearm	Y	Y	N	N	Corynebacterium
LK873	p3-SID1141	KHID92	Healthy Skin	Back	Y	Y	N	N	Micrococcus
LK874	p3-SID1228	KHID97	Healthy Skin	Nares	Y	Y	N	N	Micrococcus
LK875	p3-SID1240	KHID103	Healthy Skin	Toe web space	Y	Y	N	N	Sphingobacterium
LK876	p3-SID1148	KHID89	Healthy Skin	Alar crease	Y	Y	N	N	Corynebacterium
LK877	p3-SID1130	KHID105	Healthy Skin	Nares	Y	Y	N	N	Corynebacterium
LK878	p3-SID1147	KHID89	Healthy Skin	Alar crease	N	N	N	N	
LK879	p3-SID1309	KHID108	Healthy Skin	Volar forearm	Y	N	N	N	
LK880	p3-SID1153	KHID89	Healthy Skin	Alar crease	N	N	N	N	
LK881	p3-SID1150	KHID89	Healthy Skin	Alar crease	N	N	N	N	
LK882	p3-SID1292	KHID117	Healthy Skin	Antecubital fossa	Y	N	N	N	
LK883	p3-SID1285	KHID97	Healthy Skin	Nares	N	N	N	N	
LK884	p3-SID1282	KHID91	Healthy Skin	Occiput	N	N	N	N	
LK885	p3-SID1253	KHID103	Healthy Skin	Toe web space	N	N	N	N	
LK886	p3-SID1125	KHID106	Healthy Skin	Occiput	N	N	N	N	
LK887	p3-SID1286	KHID97	Healthy Skin	Nares	N	N	N	N	
LK888	p3-SID1281	KHID91	Healthy Skin	Occiput	N	N	N	N	
LK891	p3-SID898	KHID65	Healthy Skin	Toe web space	N	N	N	N	Staphylococcus
LK892	p3-SID1235	KHID111	Healthy Skin	Toe web space	Y	Y	N	N	Micrococcus
LK893	p3-SID796	KHID74	Healthy Skin	Alar crease	Y	Y	N	N	Staphylococcus
LK894	p3-SID1236	KHID111	Healthy Skin	Toe web space	N	N	Y	Y	Klebsiella
LK895	p3-SID1154	KHID89	Healthy Skin	Alar crease	N	N	N	N	
LK896	p3-SID1262	KHID88	Healthy Skin	Toe web space	N	N	N	N	
LK897	p3-SID891	KHID72	Healthy Skin	Umbilicus	N	N	N	N	Cellulosimicrobium
LK898	p3-SID1251	KHID103	Healthy Skin	Toe web space	N	N	N	N	
LK899	p3-SID1321	KHID108	Healthy Skin	Volar forearm	N	N	N	N	
