Strain_ID	Other_ID	Host_ID	Host_Category	Location	bioassay completed(Y/N)	included in bioassay analysis (Y/N)	genome sequenced (Y/N)	representative following 99% ANI dereplication	Genus
LK1051	p3-SID1865	KHID130	Healthy Skin	Occiput	Y	N	Y	N	Micrococcus
LK1052	p3-SID1842	KHID132	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1053	p3-SID1884	KHID131	Healthy Skin	Back	Y	Y	Y	Y	Micrococcus
LK1054	p3-SID1431	KHID137	Healthy Skin	Nares	Y	Y	Y	Y	Gordonia
LK1055	p3-SID1414	KHID127	Healthy Skin	Toe web space	Y	Y	Y	Y	Kocuria
LK1056	p3-SID1877	KHID131	Healthy Skin	Back	Y	Y	Y	Y	Micrococcus
LK1057	p3-SID1840	KHID132	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1058	p3-SID1896	KHID147	Healthy Skin	Back	N	N	N	N	Micrococcus
LK1059	p3-SID1347	KHID143	Healthy Skin	Toe web space	Y	Y	Y	Y	Corynebacterium
LK1060	p3-SID1341	KHID143	Healthy Skin	Toe web space	Y	Y	N	N	Kocuria
LK1061	p3-SID1849	KHID133	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1062	p3-SID1845	KHID133	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1063	p3-SID1899	KHID147	Healthy Skin	Back	Y	Y	N	N	Dietzia
LK1064	p3-SID1885	KHID131	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1065	p3-SID1892	KHID132	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK1066	p3-SID1850	KHID133	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1067	p3-SID1874	KHID131	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1068	p3-SID1883	KHID131	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1069	p3-SID1846	KHID133	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1070	p3-SID1875	KHID131	Healthy Skin	Back	Y	N	Y	N	Micrococcus
LK1071	p3-SID1364	KHID144	Healthy Skin	Alar crease	Y	N	N	N	
LK1072	p3-SID1843	KHID132	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1073	p3-SID1889	KHID132	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1074	p3-SID1848	KHID133	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1075	p3-SID1857	KHID134	Healthy Skin	Umbilicus	Y	Y	N	N	Micrococcus
LK1076	p3-SID1638	KHID136	Healthy Skin	Alar crease	Y	Y	N	N	Micrococcus
LK1077	p3-SID1639	KHID136	Healthy Skin	Alar crease	Y	Y	Y	N	Dermabacter
LK1078	p3-SID1642	KHID136	Healthy Skin	Alar crease	N	N	Y	N	Escherichia
LK1079	p3-SID1643	KHID136	Healthy Skin	Alar crease	N	N	Y	N	Escherichia
LK1080	p3-SID1644	KHID136	Healthy Skin	Alar crease	Y	Y	Y	N	Dermabacter
LK1081	p3-SID1645	KHID137	Healthy Skin	Nares	Y	Y	N	N	Rothia
LK1082	p3-SID1646	KHID137	Healthy Skin	Nares	Y	Y	Y	Y	Dermabacter
LK1083	p3-SID1654	KHID137	Healthy Skin	Nares	Y	Y	N	N	Rothia
LK1084	p3-SID1564	KHID140	Healthy Skin	Volar forearm	Y	Y	N	N	Corynebacterium
LK1085	p3-SID1565	KHID140	Healthy Skin	Volar forearm	Y	Y	Y	Y	Brachybacterium
LK1086	p3-SID1566	KHID140	Healthy Skin	Volar forearm	Y	Y	Y	N	Rothia
LK1087	p3-SID1567	KHID140	Healthy Skin	Volar forearm	Y	N	N	N	
LK1088	p3-SID1579	KHID130	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1089	p3-SID1580	KHID130	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1090	p3-SID1582	KHID130	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK1091	p3-SID1516	KHID143	Healthy Skin	Toe web space	Y	Y	Y	Y	Micrococcus
LK1092	p3-SID1517	KHID143	Healthy Skin	Toe web space	Y	Y	Y	Y	Dietzia
LK1093	p3-SID1518	KHID143	Healthy Skin	Toe web space	Y	Y	Y	Y	Kocuria
LK1094	p3-SID1519	KHID143	Healthy Skin	Toe web space	Y	Y	Y	N	Brevibacterium
LK1095	p3-SID1607	KHID152	Healthy Skin	Alar crease	Y	Y	Y	N	Staphylococcus
LK1096	p3-SID1612	KHID152	Healthy Skin	Alar crease	Y	Y	Y	N	Staphylococcus
LK1097	p3-SID1617	KHID157	Healthy Skin	Antecubital fossa	N	N	N	N	
LK1098	p3-SID1541	KHID153	Healthy Skin	Nares	Y	Y	Y	Y	Morganella
LK1099	p3-SID1548	KHID154	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK1100	p3-SID1551	KHID154	Healthy Skin	Occiput	N	N	N	N	
LK1101	p3-SID1555	KHID140	Healthy Skin	Volar forearm	Y	N	N	N	
LK1102	p3-SID1558	KHID155	Healthy Skin	Back	Y	Y	Y	N	Oceanobacillus
LK1103	p3-SID1470	KHID124	Healthy Skin	Volar forearm	Y	Y	N	N	Micrococcus
LK1104	p3-SID1472	KHID124	Healthy Skin	Volar forearm	Y	N	Y	N	Micrococcus
LK1105	p3-SID1473	KHID124	Healthy Skin	Volar forearm	Y	N	Y	N	Micrococcus
LK1106	p3-SID1474	KHID124	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1107	p3-SID1475	KHID124	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1109	p3-SID1591	KHID158	Healthy Skin	Umbilicus	N	N	N	N	
LK1110	p3-SID1594	KHID154	Healthy Skin	Occiput	Y	Y	Y	N	Staphylococcus
LK1111	p3-SID1595	KHID151	Healthy Skin	Toe web space	Y	N	N	N	Micrococcus
LK1112	p3-SID1597	KHID151	Healthy Skin	Toe web space	Y	Y	Y	Y	Rothia
LK1113	p3-SID1600	KHID151	Healthy Skin	Toe web space	Y	Y	Y	Y	Micrococcus
LK1114	p3-SID1910	KHID148	Healthy Skin	Volar forearm	N	N	N	N	
LK1115	p3-SID1448	KHID141	Healthy Skin	Antecubital fossa	N	N	N	N	
LK1116	p3-SID1603	KHID152	Healthy Skin	Alar crease	Y	Y	Y	Y	Staphylococcus
LK1117	p3-SID1622	KHID155	Healthy Skin	Back	Y	Y	Y	Y	Micrococcus
LK1118	p3-SID1632	KHID155	Healthy Skin	Back	Y	Y	Y	Y	Microbacterium
LK1119	p3-SID1454	KHID124	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1120	p3-SID1455	KHID124	Healthy Skin	Volar forearm	Y	Y	Y	N	Kocuria
LK1121	p3-SID1456	KHID124	Healthy Skin	Volar forearm	Y	N	Y	N	Micrococcus
LK1122	p3-SID1457	KHID124	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1123	p3-SID1458	KHID124	Healthy Skin	Volar forearm	N	N	N	N	
LK1124	p3-SID1459	KHID124	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1125	p3-SID1461	KHID124	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1126	p3-SID1462	KHID124	Healthy Skin	Volar forearm	N	N	N	N	
LK1127	p3-SID1463	KHID124	Healthy Skin	Volar forearm	Y	Y	N	N	Bacillus
LK1128	p3-SID1508	KHID140	Healthy Skin	Volar forearm	Y	Y	Y	Y	Dermacoccus
LK1129	p3-SID1510	KHID140	Healthy Skin	Volar forearm	N	N	N	N	
LK1130	p3-SID1513	KHID140	Healthy Skin	Volar forearm	Y	N	N	N	
LK1131	p3-SID1506	KHID156	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1132	p3-SID1502	KHID156	Healthy Skin	Volar forearm	N	N	N	N	
LK1133	p3-SID1523	KHID122	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1134	p3-SID1570	KHID122	Healthy Skin	Occiput	N	N	Y	Y	Corynebacterium
LK1135	p3-SID1571	KHID122	Healthy Skin	Occiput	N	N	N	N	
LK1136	p3-SID1655	KHID152	Healthy Skin	Alar crease	Y	Y	Y	Y	Staphylococcus
LK1137	p3-SID1661	KHID152	Healthy Skin	Alar crease	Y	Y	Y	Y	Staphylococcus
LK1138	p3-SID1662	KHID152	Healthy Skin	Alar crease	Y	Y	Y	N	Staphylococcus
LK1139	p3-SID1634	KHID136	Healthy Skin	Alar crease	Y	Y	Y	N	Escherichia
LK1140	p3-SID1636	KHID136	Healthy Skin	Alar crease	Y	Y	Y	N	Escherichia
LK1141	p3-SID1469	KHID124	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1142	p3-SID1588	KHID130	Healthy Skin	Occiput	N	N	N	N	
LK1143	p3-SID1574	KHID123	Healthy Skin	Back	N	N	N	N	
LK1144	p3-SID1575	KHID123	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1145	p3-SID1576	KHID123	Healthy Skin	Back	Y	Y	Y	Y	Micrococcus
LK1146	p3-SID1577	KHID123	Healthy Skin	Back	Y	N	N	N	
LK1147	p3-SID1578	KHID123	Healthy Skin	Back	Y	Y	Y	Y	Micrococcus
LK1148	p3-SID1556	KHID140	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1149	p3-SID1557	KHID140	Healthy Skin	Volar forearm	N	N	N	N	
LK1150	p3-SID1563	KHID138	Healthy Skin	Occiput	Y	N	N	N	
LK1151	p3-SID1476	KHID123	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1152	p3-SID1477	KHID123	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1153	p3-SID1460	KHID124	Healthy Skin	Volar forearm	N	N	N	N	
LK1154	p3-SID1623	KHID155	Healthy Skin	Back	N	N	N	N	
LK1155	p3-SID1479	KHID123	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1156	p3-SID1584	KHID130	Healthy Skin	Occiput	N	N	N	N	Bacillus
LK1157	p3-SID1649	KHID137	Healthy Skin	Nares	Y	Y	Y	N	Escherichia
LK1158	p3-SID1495	KHID156	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1159	p3-SID1509	KHID140	Healthy Skin	Volar forearm	Y	N	Y	N	Micrococcus
LK1160	p3-SID1504	KHID156	Healthy Skin	Volar forearm	N	N	N	N	Bacillus
LK1161	p3-SID1505	KHID156	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1162	p3-SID1503	KHID156	Healthy Skin	Volar forearm	Y	Y	N	N	Micrococcus
LK1163	p3-SID1525	KHID122	Healthy Skin	Occiput	N	N	N	N	Bacillus
LK1164	p3-SID1465	KHID124	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1165	p3-SID1467	KHID124	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1166	p3-SID1468	KHID124	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK1167	p3-SID1615	KHID157	Healthy Skin	Antecubital fossa	Y	Y	Y	N	Staphylococcus
LK1168	p3-SID1619	KHID157	Healthy Skin	Antecubital fossa	Y	Y	N	N	Micrococcus
LK1169	p3-SID1342	KHID143	Healthy Skin	Toe web space	N	N	N	N	
LK1170	p3-SID1443	KHID142	Healthy Skin	Umbilicus	Y	Y	N	N	Micrococcus
LK1171	p3-SID1464	KHID124	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1172	p3-SID1628	KHID155	Healthy Skin	Back	Y	Y	Y	Y	Oceanobacillus
LK1173	p3-SID1296	KHID98	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK1174	p3-SID1902	KHID147	Healthy Skin	Back	Y	Y	N	N	Citricoccus
LK1175	p3-SID1449	KHID141	Healthy Skin	Antecubital fossa	N	N	N	N	
LK1176	p3-SID1598	KHID151	Healthy Skin	Toe web space	Y	Y	Y	Y	Citricoccus
LK1177	p3-SID1230	KHID111	Healthy Skin	Toe web space	Y	N	N	N	Micrococcus
LK1178	p3-SID1903	KHID147	Healthy Skin	Back	N	N	N	N	
LK1179	p3-SID1374	KHID144	Healthy Skin	Alar crease	N	N	N	N	
LK1180	p3-SID1195	KHID92	Healthy Skin	Back	N	N	N	N	
LK1181	p3-SID1370	KHID144	Healthy Skin	Alar crease	Y	N	N	N	Micrococcus
LK1182	p3-SID1905	KHID147	Healthy Skin	Back	N	N	N	N	
LK1183	p3-SID950	KHID94	Healthy Skin	Antecubital fossa	Y	Y	N	N	Brachybacterium
LK1184	p3-SID1250	KHID103	Healthy Skin	Toe web space	Y	Y	N	N	Kocuria
LK1185	p3-SID1359	KHID144	Healthy Skin	Alar crease	N	N	N	N	
LK1186	p3-SID1853	KHID133	Healthy Skin	Antecubital fossa	Y	Y	N	N	Micrococcus
LK1187	p3-SID1225	KHID117	Healthy Skin	Antecubital fossa	N	N	N	N	
LK1188	p3-SID1156	KHID89	Healthy Skin	Alar crease	Y	Y	Y	Y	Aestuariimicrobium
LK1189	p3-SID1874	KHID131	Healthy Skin	Back	N	N	N	N	
LK1190	p3-SID1471	KHID124	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1191	p3-SID1859	KHID134	Healthy Skin	Umbilicus	N	N	N	N	
LK1192	p3-SID1151	KHID110	Healthy Skin	Umbilicus	N	N	N	N	
LK1193	p3-SID1868	KHID130	Healthy Skin	Occiput	N	N	N	N	
LK1194	p3-SID1860	KHID134	Healthy Skin	Umbilicus	N	N	N	N	
LK1195	p3-SID1858	KHID134	Healthy Skin	Umbilicus	N	N	N	N	
LK1196	p3-SID1038	KHID118	Healthy Skin	Umbilicus	Y	Y	N	N	Micrococcus
LK1197	p3-SID966	KHID109	Healthy Skin	Antecubital fossa	Y	Y	N	N	Micrococcus
LK1198	p3-SID1674	KHID136	Healthy Skin	Alar crease	Y	Y	Y	Y	Escherichia
LK1199	p3-SID1682	KHID146	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1200	p3-SID1683	KHID146	Healthy Skin	Occiput	Y	N	N	N	
LK1201	p3-SID1684	KHID146	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1202	p3-SID1686	KHID146	Healthy Skin	Occiput	N	N	N	N	Bacillus
LK1203	p3-SID1690	KHID146	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1204	p3-SID1692	KHID146	Healthy Skin	Occiput	Y	Y	Y	Y	Granulicatella
LK1205	p3-SID1694	KHID146	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1206	p3-SID1703	KHID146	Healthy Skin	Occiput	Y	N	Y	N	Micrococcus
LK1207	p3-SID1705	KHID146	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK1208	p3-SID1706	KHID146	Healthy Skin	Occiput	Y	Y	Y	Y	Micrococcus
LK1209	p3-SID1707	KHID146	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1210	p3-SID1709	KHID147	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1211	p3-SID1711	KHID147	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1212	p3-SID1742	KHID139	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1213	p3-SID1743	KHID139	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1214	p3-SID1744	KHID139	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1215	p3-SID1745	KHID139	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1216	p3-SID1746	KHID139	Healthy Skin	Back	Y	Y	N	N	Micrococcus
LK1217	p3-SID2507	KHID120	Healthy Skin	Alar crease	Y	N	N	N	Micrococcus
LK1218	p3-SID1478	KHID123	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1219	p3-SID1758	KHID158	Healthy Skin	Umbilicus	Y	Y	N	N	Staphylococcus
LK1220	p3-SID1768	KHID145	Healthy Skin	Nares	Y	Y	N	N	Micrococcus
LK1221	p3-SID1780	KHID148	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK1222	p3-SID1782	KHID148	Healthy Skin	Volar forearm	Y	N	N	N	
LK1223	p3-SID1785	KHID148	Healthy Skin	Volar forearm	Y	N	N	N	
LK1224	p3-SID1787	KHID148	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1225	p3-SID1793	KHID149	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1226	p3-SID1795	KHID149	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1227	p3-SID1798	KHID149	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1228	p3-SID1800	KHID149	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1229	p3-SID1801	KHID149	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1230	p3-SID1804	KHID149	Healthy Skin	Antecubital fossa	Y	N	N	N	Micrococcus
LK1231	p3-SID1805	KHID149	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Micrococcus
LK1232	p3-SID1807	KHID137	Healthy Skin	Nares	Y	Y	Y	N	Escherichia
LK1233	p3-SID1831	KHID138	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1234	p3-SID1833	KHID138	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1235	p3-SID1834	KHID138	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1236	p3-SID1836	KHID138	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1237	p3-SID2490	KHID122	Healthy Skin	Occiput	Y	Y	Y	Y	Kocuria
LK1238	p3-SID2502	KHID120	Healthy Skin	Alar crease	Y	Y	N	N	Micrococcus
LK1239	p3-SID1042	KHID118	Healthy Skin	Umbilicus	Y	Y	Y	Y	Corynebacterium
LK1240	p3-SID1697	KHID146	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1241	p3-SID1779	KHID148	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1242	p3-SID1672	KHID135	Healthy Skin	Toe web space	Y	N	N	N	
LK1243	p3-SID1676	KHID136	Healthy Skin	Alar crease	Y	N	N	N	
LK1244	p3-SID1678	KHID136	Healthy Skin	Alar crease	Y	Y	Y	N	Rothia
LK1245	p3-SID1680	KHID136	Healthy Skin	Alar crease	Y	Y	Y	N	Dermabacter
LK1246	p3-SID1704	KHID146	Healthy Skin	Occiput	Y	Y	Y	Y	Kocuria
LK1247	p3-SID1710	KHID147	Healthy Skin	Back	Y	Y	Y	N	Dietzia
LK1248	p3-SID1712	KHID147	Healthy Skin	Back	Y	N	N	N	Micrococcus
LK1249	p3-SID1715	KHID147	Healthy Skin	Back	Y	Y	Y	N	Dietzia
LK1250	p3-SID1724	KHID157	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Kocuria
LK1251	p3-SID1725	KHID157	Healthy Skin	Antecubital fossa	N	N	N	N	
LK1252	p3-SID1727	KHID158	Healthy Skin	Umbilicus	Y	Y	Y	Y	Dermabacter
LK1253	p3-SID1728	KHID158	Healthy Skin	Umbilicus	Y	Y	N	N	Staphylococcus
LK1254	p3-SID1729	KHID158	Healthy Skin	Umbilicus	Y	Y	N	N	Staphylococcus
LK1255	p3-SID1731	KHID158	Healthy Skin	Umbilicus	Y	Y	Y	Y	Staphylococcus
LK1256	p3-SID1789	KHID149	Healthy Skin	Antecubital fossa	Y	Y	Y	N	Dietzia
LK1257	p3-SID1716	KHID147	Healthy Skin	Back	Y	Y	Y	Y	Dermabacter
LK1258	p3-SID1720	KHID147	Healthy Skin	Back	Y	Y	N	N	Micrococcus
LK1259	p3-SID1735	KHID138	Healthy Skin	Occiput	Y	Y	Y	N	Rothia
LK1260	p3-SID1736	KHID138	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1261	p3-SID1737	KHID138	Healthy Skin	Occiput	Y	N	N	N	Micrococcus
LK1262	p3-SID1739	KHID138	Healthy Skin	Occiput	Y	Y	N	N	Micrococcus
LK1263	p3-SID1741	KHID138	Healthy Skin	Occiput	Y	Y	Y	Y	Rothia
LK1264	p3-SID1754	KHID158	Healthy Skin	Umbilicus	Y	Y	Y	N	Staphylococcus
LK1265	p3-SID1760	KHID158	Healthy Skin	Umbilicus	Y	Y	N	N	Staphylococcus
LK1266	p3-SID1762	KHID145	Healthy Skin	Nares	Y	Y	Y	N	Dietzia
LK1267	p3-SID1766	KHID145	Healthy Skin	Nares	Y	Y	Y	N	Dietzia
LK1268	p3-SID1770	KHID145	Healthy Skin	Nares	N	N	Y	N	Dietzia
LK1269	p3-SID1772	KHID135	Healthy Skin	Toe web space	Y	Y	Y	N	Corynebacterium
LK1270	p3-SID1774	KHID135	Healthy Skin	Toe web space	N	N	Y	Y	Corynebacterium
LK1271	p3-SID1775	KHID135	Healthy Skin	Toe web space	Y	Y	N	N	Nesterenkonia
LK1272	p3-SID1776	KHID135	Healthy Skin	Toe web space	Y	Y	Y	N	Corynebacterium
LK1273	p3-SID1777	KHID135	Healthy Skin	Toe web space	N	N	N	N	
LK1274	p3-SID1781	KHID148	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1275	p3-SID1783	KHID148	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1276	p3-SID1784	KHID148	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1277	p3-SID1786	KHID148	Healthy Skin	Volar forearm	Y	Y	Y	Y	Dietzia
LK1278	p3-SID1796	KHID149	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Dietzia
LK1279	p3-SID1799	KHID149	Healthy Skin	Antecubital fossa	Y	Y	Y	Y	Pseudoclavibacter
LK1280	p3-SID1803	KHID149	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK1281	p3-SID1808	KHID137	Healthy Skin	Nares	N	N	Y	N	Rothia
LK1282	p3-SID1811	KHID137	Healthy Skin	Nares	Y	Y	Y	N	Rothia
LK1283	p3-SID1825	KHID138	Healthy Skin	Occiput	N	N	Y	N	Dietzia
LK1284	p3-SID1828	KHID138	Healthy Skin	Occiput	N	N	Y	N	Rothia
LK1285	p3-SID1829	KHID138	Healthy Skin	Occiput	Y	Y	Y	N	Rothia
LK1286	p3-SID1830	KHID138	Healthy Skin	Occiput	Y	N	N	N	
LK1287	p3-SID1817	KHID137	Healthy Skin	Nares	Y	Y	Y	N	Rothia
LK1288	p3-SID1823	KHID137	Healthy Skin	Nares	N	N	Y	N	Dermabacter
LK1289	p3-SID1241	KHID103	Healthy Skin	Toe web space	Y	Y	Y	Y	Corynebacterium
LK1290	p3-SID1260	KHID88	Healthy Skin	Toe web space	N	N	N	N	Kytococcus
LK1291	p3-SID1057	KHID119	Healthy Skin	Toe web space	N	N	N	N	Micrococcus
LK1292	p3-SID1013	KHID115	Healthy Skin	Back	N	N	N	N	Micrococcus
LK1293	p3-SID1055	KHID119	Healthy Skin	Toe web space	N	N	N	N	
LK1294	p3-SID1073	KHID84	Healthy Skin	Back	N	N	N	N	Micrococcus
LK1295	p3-SID1794	KHID149	Healthy Skin	Antecubital fossa	N	N	N	N	
LK1296	p3-SID1702	KHID146	Healthy Skin	Occiput	N	N	N	N	
LK1297	p3-SID1814	KHID137	Healthy Skin	Nares	N	N	N	N	
LK1298	p3-SID1816	KHID137	Healthy Skin	Nares	N	N	N	N	
LK1299	p3-SID1761	KHID158	Healthy Skin	Umbilicus	Y	Y	N	N	Micrococcus
LK1300	p3-SID978	KHID85	Healthy Skin	Volar forearm	N	N	N	N	
LK1301	p3-SID1514	KHID143	Healthy Skin	Toe web space	N	N	Y	Y	Brevibacterium
LK1302	p3-SID1351	KHID144	Healthy Skin	Alar crease	N	N	Y	Y	Brachybacterium
LK1303	p3-SID1443	KHID142	Healthy Skin	Umbilicus	N	N	N	N	Micrococcus
LK1304	p3-SID984	KHID85	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK1305	p3-SID981	KHID85	Healthy Skin	Volar forearm	N	N	N	N	
LK1306	p3-SID980	KHID85	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1307	p3-SID1180	KHID91	Healthy Skin	Occiput	N	N	N	N	Staphylococcus
LK1308	p3-SID1181	KHID91	Healthy Skin	Occiput	N	N	N	N	
LK1309	p3-SID1698	KHID146	Healthy Skin	Occiput	N	N	N	N	
LK1310	p3-SID1671	KHID135	Healthy Skin	Toe web space	N	N	N	N	Micrococcus
LK1311	p3-SID1673	KHID135	Healthy Skin	Toe web space	N	N	Y	Y	Microbacterium
LK1312	p3-SID1701	KHID146	Healthy Skin	Occiput	N	N	Y	N	Dietzia
LK1313	p3-SID1771	KHID145	Healthy Skin	Nares	N	N	N	N	
LK1314	p3-SID983	KHID85	Healthy Skin	Volar forearm	N	N	N	N	
LK1315	p3-SID965	KHID109	Healthy Skin	Antecubital fossa	N	N	N	N	
LK1316	p3-SID1168	KHID86	Healthy Skin	Antecubital fossa	N	N	N	N	Micrococcus
LK1317	p3-SID1160	KHID84	Healthy Skin	Back	N	N	N	N	Micrococcus
LK1318	p3-SID1158	KHID84	Healthy Skin	Back	N	N	N	N	Micrococcus
LK1319	p3-SID1120	KHID107	Healthy Skin	Back	N	N	N	N	Bacillus
LK1320	p3-SID1009	KHID115	Healthy Skin	Back	N	N	N	N	Micrococcus
LK1321	p3-SID1063	KHID119	Healthy Skin	Toe web space	N	N	Y	N	Dietzia
LK1322	p3-SID1003	KHID116	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK1323	p3-SID1012	KHID115	Healthy Skin	Back	N	N	N	N	Micrococcus
LK1324	p3-SID976	KHID85	Healthy Skin	Volar forearm	N	N	N	N	
LK1325	p3-SID977	KHID85	Healthy Skin	Volar forearm	N	N	N	N	Micrococcus
LK1326	p3-SID978	KHID85	Healthy Skin	Volar forearm	N	N	N	N	
LK1327	p3-SID969	KHID90	Healthy Skin	Nares	N	N	N	N	Staphylococcus
LK1328	p3-SID1122	KHID107	Healthy Skin	Back	N	N	N	N	
LK1329	p3-SID1123	KHID107	Healthy Skin	Back	N	N	N	N	
LK1330	p3-SID996	KHID116	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1331	p3-SID997	KHID116	Healthy Skin	Volar forearm	Y	N	N	N	Micrococcus
LK1332	p3-SID962	KHID94	Healthy Skin	Antecubital fossa	N	N	N	N	Bacillus
LK1333	p3-SID1023	KHID115	Healthy Skin	Back	Y	Y	N	N	Micrococcus
LK1334	p3-SID1106	KHID113	Healthy Skin	Nares	Y	Y	Y	Y	Micrococcus
LK1335	p3-SID1002	KHID116	Healthy Skin	Volar forearm	Y	Y	Y	Y	Micrococcus
LK1336	p3-SID1306	KHID108	Healthy Skin	Volar forearm	N	N	N	N	Brachybacterium
LK1337	p3-SID960	KHID89	Healthy Skin	Alar crease	Y	Y	Y	Y	Brevibacterium
LK1338	p3-SID992	KHID93	Healthy Skin	Volar forearm	N	N	N	N	
LK1339	p3-SID1182	KHID87	Healthy Skin	Umbilicus	N	N	N	N	
LK1340	p3-SID972	KHID94	Healthy Skin	Antecubital fossa	Y	Y	N	N	Corynebacterium
LK1341	p3-SID985	KHID85	Healthy Skin	Volar forearm	Y	Y	N	N	Staphylococcus
LK1342	p3-SID1177	KHID91	Healthy Skin	Occiput	Y	Y	N	N	Staphylococcus
LK1343	p3-SID1178	KHID91	Healthy Skin	Occiput	N	N	N	N	Staphylococcus
LK1344	p3-SID1179	KHID91	Healthy Skin	Occiput	N	N	N	N	
LK1345	p3-SID990	KHID85	Healthy Skin	Volar forearm	N	N	N	N	
LK1346	p3-SID982	KHID85	Healthy Skin	Volar forearm	Y	Y	Y	Y	Corynebacterium
