gene,LK1077.rgi,LK1080.rgi,LK1082.rgi,LK112.rgi,LK1245.rgi,LK1252.rgi,LK1257.rgi,LK1288.rgi,LK1351.rgi,LK220.rgi,LK336.rgi,LK522.rgi,LK557.rgi
ErmX,0,0,0,0,0,0,1,0,1,0,1,0,1
APH(3')-Ia,0,0,0,0,0,0,2,0,0,0,0,0,0
cmx,0,0,0,0,0,0,2,0,0,0,0,0,0
APH(3'')-Ib,0,0,0,0,0,0,1,0,0,0,0,0,0
APH(6)-Id,0,0,0,0,0,0,1,0,0,0,0,0,0
