Sample	SampleSubject	SampleBodySite	Taxa	Estimated_Reads
LKMB002-1-11_S15	S002	Sebaceous_Oc	Corynebacterium	274586
LKMB002-1-11_S15	S002	Sebaceous_Oc	Micrococcus	492257
LKMB002-1-11_S15	S002	Sebaceous_Oc	Staphylococcus	365435
LKMB002-1-11_S15	S002	Sebaceous_Oc	Other	991351
LKMB002-1-86_S85	S009	Sebaceous_Ba	Cutibacterium	2891620
LKMB002-1-86_S85	S009	Sebaceous_Ba	Corynebacterium	184966
LKMB002-1-86_S85	S009	Sebaceous_Ba	Micrococcus	442069
LKMB002-1-86_S85	S009	Sebaceous_Ba	Staphylococcus	122004
LKMB002-1-86_S85	S009	Sebaceous_Ba	Other	1122863
LKMB002-1-29_S33	S004	Sebaceous_Ba	Cutibacterium	3693258
LKMB002-1-29_S33	S004	Sebaceous_Ba	Corynebacterium	370462
LKMB002-1-29_S33	S004	Sebaceous_Ba	Micrococcus	182646
LKMB002-1-29_S33	S004	Sebaceous_Ba	Staphylococcus	141201
LKMB002-1-29_S33	S004	Sebaceous_Ba	Other	3368898
LKMB002-1-03_S7	S001	Sebaceous_Oc	Cutibacterium	2515349
LKMB002-1-03_S7	S001	Sebaceous_Oc	Corynebacterium	23023
LKMB002-1-03_S7	S001	Sebaceous_Oc	Micrococcus	162645
LKMB002-1-03_S7	S001	Sebaceous_Oc	Staphylococcus	27954
LKMB002-1-03_S7	S001	Sebaceous_Oc	Other	318899
LKMB002-1-16_S20	S002	Moist_Tw	Cutibacterium	10398
LKMB002-1-16_S20	S002	Moist_Tw	Corynebacterium	15729
LKMB002-1-16_S20	S002	Moist_Tw	Micrococcus	789
LKMB002-1-16_S20	S002	Moist_Tw	Staphylococcus	11998
LKMB002-1-16_S20	S002	Moist_Tw	Other	6346
LKMB002-2-039_S130	S017	Sebaceous_Oc	Cutibacterium	7908614
LKMB002-2-039_S130	S017	Sebaceous_Oc	Corynebacterium	71491
LKMB002-2-039_S130	S017	Sebaceous_Oc	Micrococcus	6875
LKMB002-2-039_S130	S017	Sebaceous_Oc	Staphylococcus	781660
LKMB002-2-039_S130	S017	Sebaceous_Oc	Other	864433
LKMB002-1-37_S41	S005	Sebaceous_Ba	Cutibacterium	10937995
LKMB002-1-37_S41	S005	Sebaceous_Ba	Corynebacterium	194147
LKMB002-1-37_S41	S005	Sebaceous_Ba	Micrococcus	92819
LKMB002-1-37_S41	S005	Sebaceous_Ba	Staphylococcus	150119
LKMB002-1-37_S41	S005	Sebaceous_Ba	Other	1396568
LKMB002-1-81_S80	S010	Moist_Um	Cutibacterium	21011
LKMB002-1-81_S80	S010	Moist_Um	Corynebacterium	7795093
LKMB002-1-81_S80	S010	Moist_Um	Micrococcus	2273
LKMB002-1-81_S80	S010	Moist_Um	Staphylococcus	3019751
LKMB002-1-81_S80	S010	Moist_Um	Other	1525071
LKMB002-2-037_S128	S017	Sebaceous_Al	Cutibacterium	2945949
LKMB002-2-037_S128	S017	Sebaceous_Al	Corynebacterium	8609
LKMB002-2-037_S128	S017	Sebaceous_Al	Micrococcus	980
LKMB002-2-037_S128	S017	Sebaceous_Al	Staphylococcus	123854
LKMB002-2-037_S128	S017	Sebaceous_Al	Other	287214
LKMB002-1-77_S76	S010	Sebaceous_Oc	Cutibacterium	40868
LKMB002-1-77_S76	S010	Sebaceous_Oc	Corynebacterium	36576
LKMB002-1-77_S76	S010	Sebaceous_Oc	Micrococcus	19940
LKMB002-1-77_S76	S010	Sebaceous_Oc	Staphylococcus	126577
LKMB002-1-77_S76	S010	Sebaceous_Oc	Other	721489
LKMB002-1-89_S88	S009	Moist_Um	Cutibacterium	175319
LKMB002-1-89_S88	S009	Moist_Um	Corynebacterium	2320767
LKMB002-1-89_S88	S009	Moist_Um	Micrococcus	2336
LKMB002-1-89_S88	S009	Moist_Um	Staphylococcus	123226
LKMB002-1-89_S88	S009	Moist_Um	Other	5997501
LKMB002-1-47_S51	S007	Rarely_Moist_Af	Cutibacterium	1423892
LKMB002-1-47_S51	S007	Rarely_Moist_Af	Corynebacterium	613523
LKMB002-1-47_S51	S007	Rarely_Moist_Af	Micrococcus	44512
LKMB002-1-47_S51	S007	Rarely_Moist_Af	Staphylococcus	441721
LKMB002-1-47_S51	S007	Rarely_Moist_Af	Other	2465503
LKMB002-2-012_S103	S015	Sebaceous_Al	Cutibacterium	5336336
LKMB002-2-012_S103	S015	Sebaceous_Al	Corynebacterium	115315
LKMB002-2-012_S103	S015	Sebaceous_Al	Micrococcus	2918
LKMB002-2-012_S103	S015	Sebaceous_Al	Staphylococcus	88075
LKMB002-2-012_S103	S015	Sebaceous_Al	Other	161147
LKMB002-1-63_S62	S008	Rarely_Moist_Vf	Cutibacterium	166001
LKMB002-1-63_S62	S008	Rarely_Moist_Vf	Corynebacterium	75612
LKMB002-1-63_S62	S008	Rarely_Moist_Vf	Micrococcus	87666
LKMB002-1-63_S62	S008	Rarely_Moist_Vf	Staphylococcus	60841
LKMB002-1-63_S62	S008	Rarely_Moist_Vf	Other	333154
LKMB002-1-71_S70	S011	Rarely_Moist_Vf	Cutibacterium	11198
LKMB002-1-71_S70	S011	Rarely_Moist_Vf	Corynebacterium	16632729
LKMB002-1-71_S70	S011	Rarely_Moist_Vf	Micrococcus	28511
LKMB002-1-71_S70	S011	Rarely_Moist_Vf	Staphylococcus	640606
LKMB002-1-71_S70	S011	Rarely_Moist_Vf	Other	408371
LKMB002-1-49_S53	S007	Moist_Tw	Cutibacterium	16530
LKMB002-1-49_S53	S007	Moist_Tw	Corynebacterium	14382041
LKMB002-1-49_S53	S007	Moist_Tw	Micrococcus	9328
LKMB002-1-49_S53	S007	Moist_Tw	Staphylococcus	1849406
LKMB002-1-49_S53	S007	Moist_Tw	Other	525750
LKMB002-1-70_S69	S011	Sebaceous_Ba	Cutibacterium	740674
LKMB002-1-70_S69	S011	Sebaceous_Ba	Corynebacterium	93059
LKMB002-1-70_S69	S011	Sebaceous_Ba	Micrococcus	412034
LKMB002-1-70_S69	S011	Sebaceous_Ba	Staphylococcus	44856
LKMB002-1-70_S69	S011	Sebaceous_Ba	Other	1088354
LKMB002-1-17_S21	S003	Sebaceous_Al	Cutibacterium	14068459
LKMB002-1-17_S21	S003	Sebaceous_Al	Corynebacterium	172275
