metagenome	body_site	body_site_type	database	value
LKMB002-1-03-S7	Oc	Sebaceous	2. SBCC	23.44
LKMB002-1-03-S7	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	76.28
LKMB002-1-03-S7	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	80.30
LKMB002-1-03-S7	Oc	Sebaceous	6. EPIC + SMGC	86.79
LKMB002-1-03-S7	Oc	Sebaceous	1. EPIC	27.08
LKMB002-1-03-S7	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	79.54
LKMB002-2-078-S185	Na	Moist	2. SBCC	29.62
LKMB002-2-078-S185	Na	Moist	4. SBCC + C. acnes ATCC 6919	67.83
LKMB002-2-078-S185	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	71.97
LKMB002-2-078-S185	Na	Moist	6. EPIC + SMGC	82.31
LKMB002-2-078-S185	Na	Moist	1. EPIC	33.12
LKMB002-2-078-S185	Na	Moist	3. EPIC + C. acnes ATCC 6919	71.03
LKMB002-2-090-S197	Af	Rarely Moist	2. SBCC	16.88
LKMB002-2-090-S197	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	27.79
LKMB002-2-090-S197	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	32.59
LKMB002-2-090-S197	Af	Rarely Moist	6. EPIC + SMGC	51.22
LKMB002-2-090-S197	Af	Rarely Moist	1. EPIC	18.99
LKMB002-2-090-S197	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	29.79
LKMN002-3-38-S165	Tw	Moist	2. SBCC	81.90
LKMN002-3-38-S165	Tw	Moist	4. SBCC + C. acnes ATCC 6919	81.96
LKMN002-3-38-S165	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	83.98
LKMN002-3-38-S165	Tw	Moist	6. EPIC + SMGC	87.41
LKMN002-3-38-S165	Tw	Moist	1. EPIC	70.34
LKMN002-3-38-S165	Tw	Moist	3. EPIC + C. acnes ATCC 6919	70.41
LKMB002-2-094-S201	Al	Sebaceous	2. SBCC	22.43
LKMB002-2-094-S201	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	70.76
LKMB002-2-094-S201	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	73.00
LKMB002-2-094-S201	Al	Sebaceous	6. EPIC + SMGC	81.92
LKMB002-2-094-S201	Al	Sebaceous	1. EPIC	24.49
LKMB002-2-094-S201	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	72.48
LKMB002-1-53-S158	Ba	Sebaceous	2. SBCC	21.74
LKMB002-1-53-S158	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	82.10
LKMB002-1-53-S158	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	82.52
LKMB002-1-53-S158	Ba	Sebaceous	6. EPIC + SMGC	83.91
LKMB002-1-53-S158	Ba	Sebaceous	1. EPIC	21.71
LKMB002-1-53-S158	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	81.65
LKMB002-1-37-S41	Ba	Sebaceous	2. SBCC	22.63
LKMB002-1-37-S41	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	79.03
LKMB002-1-37-S41	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	80.30
LKMB002-1-37-S41	Ba	Sebaceous	6. EPIC + SMGC	84.15
LKMB002-1-37-S41	Ba	Sebaceous	1. EPIC	23.39
LKMB002-1-37-S41	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	79.38
LKMB002-1-66-S65	Tw	Moist	2. SBCC	86.21
LKMB002-1-66-S65	Tw	Moist	4. SBCC + C. acnes ATCC 6919	86.25
LKMB002-1-66-S65	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	88.35
LKMB002-1-66-S65	Tw	Moist	6. EPIC + SMGC	91.45
LKMB002-1-66-S65	Tw	Moist	1. EPIC	66.98
LKMB002-1-66-S65	Tw	Moist	3. EPIC + C. acnes ATCC 6919	67.02
LKMB002-1-59-S58	Al	Sebaceous	2. SBCC	24.77
LKMB002-1-59-S58	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	92.99
LKMB002-1-59-S58	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	93.48
LKMB002-1-59-S58	Al	Sebaceous	6. EPIC + SMGC	93.91
LKMB002-1-59-S58	Al	Sebaceous	1. EPIC	25.67
LKMB002-1-59-S58	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	93.35
LKMB002-2-005-S164	Na	Moist	2. SBCC	59.89
LKMB002-2-005-S164	Na	Moist	4. SBCC + C. acnes ATCC 6919	66.08
LKMB002-2-005-S164	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	71.13
LKMB002-2-005-S164	Na	Moist	6. EPIC + SMGC	93.30
LKMB002-2-005-S164	Na	Moist	1. EPIC	62.62
LKMB002-2-005-S164	Na	Moist	3. EPIC + C. acnes ATCC 6919	68.76
LKMB002-1-13-S17	Vf	Rarely Moist	2. SBCC	20.47
LKMB002-1-13-S17	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	59.23
LKMB002-1-13-S17	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	63.62
LKMB002-1-13-S17	Vf	Rarely Moist	6. EPIC + SMGC	77.45
LKMB002-1-13-S17	Vf	Rarely Moist	1. EPIC	23.19
LKMB002-1-13-S17	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	61.70
LKMB002-1-75-S74	Al	Sebaceous	2. SBCC	18.34
LKMB002-1-75-S74	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	46.97
LKMB002-1-75-S74	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	49.39
LKMB002-1-75-S74	Al	Sebaceous	6. EPIC + SMGC	79.96
LKMB002-1-75-S74	Al	Sebaceous	1. EPIC	19.11
LKMB002-1-75-S74	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	47.48
LKMB002-2-015-S106	Ba	Sebaceous	2. SBCC	21.33
LKMB002-2-015-S106	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	76.32
LKMB002-2-015-S106	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	79.07
LKMB002-2-015-S106	Ba	Sebaceous	6. EPIC + SMGC	86.06
LKMB002-2-015-S106	Ba	Sebaceous	1. EPIC	24.03
LKMB002-2-015-S106	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	78.61
LKMN002-3-64-S263	Um	Moist	2. SBCC	35.73
LKMN002-3-64-S263	Um	Moist	4. SBCC + C. acnes ATCC 6919	39.78
LKMN002-3-64-S263	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	61.02
LKMN002-3-64-S263	Um	Moist	6. EPIC + SMGC	69.71
LKMN002-3-64-S263	Um	Moist	1. EPIC	52.86
LKMN002-3-64-S263	Um	Moist	3. EPIC + C. acnes ATCC 6919	56.88
LKMN002-3-47-S246	Tw	Moist	2. SBCC	77.57
LKMN002-3-47-S246	Tw	Moist	4. SBCC + C. acnes ATCC 6919	78.21
LKMN002-3-47-S246	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	82.54
LKMN002-3-47-S246	Tw	Moist	6. EPIC + SMGC	84.85
LKMN002-3-47-S246	Tw	Moist	1. EPIC	80.32
LKMN002-3-47-S246	Tw	Moist	3. EPIC + C. acnes ATCC 6919	80.95
LKMB002-1-01-S5	Al	Sebaceous	2. SBCC	24.17
LKMB002-1-01-S5	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	88.03
LKMB002-1-01-S5	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	88.52
LKMB002-1-01-S5	Al	Sebaceous	6. EPIC + SMGC	89.54
LKMB002-1-01-S5	Al	Sebaceous	1. EPIC	24.85
LKMB002-1-01-S5	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	88.25
LKMB002-2-059-S150	Tw	Moist	2. SBCC	33.35
LKMB002-2-059-S150	Tw	Moist	4. SBCC + C. acnes ATCC 6919	37.41
LKMB002-2-059-S150	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	40.76
LKMB002-2-059-S150	Tw	Moist	6. EPIC + SMGC	57.47
LKMB002-2-059-S150	Tw	Moist	1. EPIC	35.09
LKMB002-2-059-S150	Tw	Moist	3. EPIC + C. acnes ATCC 6919	39.12
LKMN002-3-81-S280	Af	Rarely Moist	2. SBCC	83.61
LKMN002-3-81-S280	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	86.00
LKMN002-3-81-S280	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	90.70
LKMN002-3-81-S280	Af	Rarely Moist	6. EPIC + SMGC	93.34
LKMN002-3-81-S280	Af	Rarely Moist	1. EPIC	86.57
LKMN002-3-81-S280	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	88.94
LKMN002-3-84-S283	Al	Sebaceous	2. SBCC	23.62
LKMN002-3-84-S283	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	89.10
