metagenome	body_site	body_site_type	database	value
LKMB002-1-86-S85	Ba	Sebaceous	6. EPIC + SMGC	52.20
LKMB002-1-86-S85	Ba	Sebaceous	1. EPIC	18.58
LKMB002-1-86-S85	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	42.86
LKMB002-1-05-S9	Vf	Rarely Moist	2. SBCC	6.98
LKMB002-1-05-S9	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	9.75
LKMB002-1-05-S9	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	12.18
LKMB002-1-05-S9	Vf	Rarely Moist	6. EPIC + SMGC	29.17
LKMB002-1-05-S9	Vf	Rarely Moist	1. EPIC	6.45
LKMB002-1-05-S9	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	9.20
LKMB002-2-077-S184	Al	Sebaceous	2. SBCC	24.42
LKMB002-2-077-S184	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	81.41
LKMB002-2-077-S184	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	82.98
LKMB002-2-077-S184	Al	Sebaceous	6. EPIC + SMGC	86.07
LKMB002-2-077-S184	Al	Sebaceous	1. EPIC	26.03
LKMB002-2-077-S184	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	82.64
LKMN002-3-60-S259	Oc	Sebaceous	2. SBCC	23.26
LKMN002-3-60-S259	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	67.71
LKMN002-3-60-S259	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	70.24
LKMN002-3-60-S259	Oc	Sebaceous	6. EPIC + SMGC	83.23
LKMN002-3-60-S259	Oc	Sebaceous	1. EPIC	25.51
LKMN002-3-60-S259	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	69.64
LKMN002-3-29-S232	Um	Moist	2. SBCC	35.97
LKMN002-3-29-S232	Um	Moist	4. SBCC + C. acnes ATCC 6919	66.03
LKMN002-3-29-S232	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	68.43
LKMN002-3-29-S232	Um	Moist	6. EPIC + SMGC	78.02
LKMN002-3-29-S232	Um	Moist	1. EPIC	34.73
LKMN002-3-29-S232	Um	Moist	3. EPIC + C. acnes ATCC 6919	64.57
LKMB002-1-27-S31	Na	Moist	2. SBCC	37.74
LKMB002-1-27-S31	Na	Moist	4. SBCC + C. acnes ATCC 6919	61.29
LKMB002-1-27-S31	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	63.55
LKMB002-1-27-S31	Na	Moist	6. EPIC + SMGC	81.95
LKMB002-1-27-S31	Na	Moist	1. EPIC	37.76
LKMB002-1-27-S31	Na	Moist	3. EPIC + C. acnes ATCC 6919	61.15
LKMN002-3-68-S267	Na	Moist	2. SBCC	36.32
LKMN002-3-68-S267	Na	Moist	4. SBCC + C. acnes ATCC 6919	68.10
LKMN002-3-68-S267	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	71.12
LKMN002-3-68-S267	Na	Moist	6. EPIC + SMGC	79.72
LKMN002-3-68-S267	Na	Moist	1. EPIC	37.19
LKMN002-3-68-S267	Na	Moist	3. EPIC + C. acnes ATCC 6919	68.75
LKMB002-2-021-S112	Na	Moist	2. SBCC	35.98
LKMB002-2-021-S112	Na	Moist	4. SBCC + C. acnes ATCC 6919	54.36
LKMB002-2-021-S112	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	59.95
LKMB002-2-021-S112	Na	Moist	6. EPIC + SMGC	67.79
LKMB002-2-021-S112	Na	Moist	1. EPIC	39.82
LKMB002-2-021-S112	Na	Moist	3. EPIC + C. acnes ATCC 6919	58.05
LKMB002-2-027-S118	Tw	Moist	2. SBCC	48.68
LKMB002-2-027-S118	Tw	Moist	4. SBCC + C. acnes ATCC 6919	54.90
LKMB002-2-027-S118	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	60.27
LKMB002-2-027-S118	Tw	Moist	6. EPIC + SMGC	73.93
LKMB002-2-027-S118	Tw	Moist	1. EPIC	52.14
LKMB002-2-027-S118	Tw	Moist	3. EPIC + C. acnes ATCC 6919	58.30
LKMN002-3-16-S219	Na	Moist	2. SBCC	48.84
LKMN002-3-16-S219	Na	Moist	4. SBCC + C. acnes ATCC 6919	65.05
LKMN002-3-16-S219	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	72.74
LKMN002-3-16-S219	Na	Moist	6. EPIC + SMGC	85.32
LKMN002-3-16-S219	Na	Moist	1. EPIC	55.06
LKMN002-3-16-S219	Na	Moist	3. EPIC + C. acnes ATCC 6919	71.15
LKMB002-1-06-S10	Af	Rarely Moist	2. SBCC	9.66
LKMB002-1-06-S10	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	17.17
LKMB002-1-06-S10	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	21.10
LKMB002-1-06-S10	Af	Rarely Moist	6. EPIC + SMGC	46.07
LKMB002-1-06-S10	Af	Rarely Moist	1. EPIC	10.83
LKMB002-1-06-S10	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	18.29
LKMN002-3-88-S287	Vf	Rarely Moist	2. SBCC	22.40
LKMN002-3-88-S287	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	36.20
LKMN002-3-88-S287	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	52.64
LKMN002-3-88-S287	Vf	Rarely Moist	6. EPIC + SMGC	67.88
LKMN002-3-88-S287	Vf	Rarely Moist	1. EPIC	36.31
LKMN002-3-88-S287	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	50.00
LKMB002-1-26-S30	Al	Sebaceous	2. SBCC	23.67
LKMB002-1-26-S30	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	86.43
LKMB002-1-26-S30	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	86.73
LKMB002-1-26-S30	Al	Sebaceous	6. EPIC + SMGC	89.84
LKMB002-1-26-S30	Al	Sebaceous	1. EPIC	24.08
LKMB002-1-26-S30	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	86.39
LKMB002-1-71-S70	Vf	Rarely Moist	2. SBCC	85.53
LKMB002-1-71-S70	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	85.57
LKMB002-1-71-S70	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	87.72
LKMB002-1-71-S70	Vf	Rarely Moist	6. EPIC + SMGC	90.85
LKMB002-1-71-S70	Vf	Rarely Moist	1. EPIC	66.50
LKMB002-1-71-S70	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	66.54
LKMB002-2-047-S138	Na	Moist	2. SBCC	52.48
LKMB002-2-047-S138	Na	Moist	4. SBCC + C. acnes ATCC 6919	54.23
LKMB002-2-047-S138	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	56.71
LKMB002-2-047-S138	Na	Moist	6. EPIC + SMGC	87.62
LKMB002-2-047-S138	Na	Moist	1. EPIC	52.78
LKMB002-2-047-S138	Na	Moist	3. EPIC + C. acnes ATCC 6919	54.52
LKMN002-3-86-S285	Oc	Sebaceous	2. SBCC	24.54
LKMN002-3-86-S285	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	80.00
LKMN002-3-86-S285	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	84.82
LKMN002-3-86-S285	Oc	Sebaceous	6. EPIC + SMGC	92.21
LKMN002-3-86-S285	Oc	Sebaceous	1. EPIC	28.67
LKMN002-3-86-S285	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	83.74
LKMN002-3-37-S240	Um	Moist	2. SBCC	61.55
LKMN002-3-37-S240	Um	Moist	4. SBCC + C. acnes ATCC 6919	62.63
LKMN002-3-37-S240	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	83.14
LKMN002-3-37-S240	Um	Moist	6. EPIC + SMGC	93.56
LKMN002-3-37-S240	Um	Moist	1. EPIC	70.16
LKMN002-3-37-S240	Um	Moist	3. EPIC + C. acnes ATCC 6919	71.22
LKMB002-1-52-S157	Oc	Sebaceous	2. SBCC	22.19
LKMB002-1-52-S157	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	70.37
LKMB002-1-52-S157	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	70.89
LKMB002-1-52-S157	Oc	Sebaceous	6. EPIC + SMGC	74.58
LKMB002-1-52-S157	Oc	Sebaceous	1. EPIC	22.65
LKMB002-1-52-S157	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	70.50
LKMB002-1-32-S36	Um	Moist	2. SBCC	8.63
LKMB002-1-32-S36	Um	Moist	4. SBCC + C. acnes ATCC 6919	8.69
LKMB002-1-32-S36	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	12.90
LKMB002-1-32-S36	Um	Moist	6. EPIC + SMGC	76.88
LKMB002-1-32-S36	Um	Moist	1. EPIC	11.91
LKMB002-1-32-S36	Um	Moist	3. EPIC + C. acnes ATCC 6919	11.98
LKMB002-2-075-S182	Tw	Moist	2. SBCC	58.51
LKMB002-2-075-S182	Tw	Moist	4. SBCC + C. acnes ATCC 6919	58.65
LKMB002-2-075-S182	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	65.40
LKMB002-2-075-S182	Tw	Moist	6. EPIC + SMGC	71.96
LKMB002-2-075-S182	Tw	Moist	1. EPIC	62.49
LKMB002-2-075-S182	Tw	Moist	3. EPIC + C. acnes ATCC 6919	62.63
LKMB002-1-20-S24	Ba	Sebaceous	2. SBCC	16.62
LKMB002-1-20-S24	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	26.13
LKMB002-1-20-S24	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	41.51
LKMB002-1-20-S24	Ba	Sebaceous	6. EPIC + SMGC	57.79
LKMB002-1-20-S24	Ba	Sebaceous	1. EPIC	29.95
LKMB002-1-20-S24	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	39.38
LKMB002-2-037-S128	Al	Sebaceous	2. SBCC	25.11
LKMB002-2-037-S128	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	86.19
LKMB002-2-037-S128	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	87.27
LKMB002-2-037-S128	Al	Sebaceous	6. EPIC + SMGC	90.17
LKMB002-2-037-S128	Al	Sebaceous	1. EPIC	26.30
LKMB002-2-037-S128	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	86.94
LKMB002-1-50-S54	Al	Sebaceous	2. SBCC	25.83
LKMB002-1-50-S54	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	87.72
LKMB002-1-50-S54	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	88.94
LKMB002-1-50-S54	Al	Sebaceous	6. EPIC + SMGC	90.53
LKMB002-1-50-S54	Al	Sebaceous	1. EPIC	27.29
LKMB002-1-50-S54	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	88.74
LKMB002-1-64-S63	Af	Rarely Moist	2. SBCC	15.65
LKMB002-1-64-S63	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	21.02
LKMB002-1-64-S63	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	26.82
LKMB002-1-64-S63	Af	Rarely Moist	6. EPIC + SMGC	41.47
LKMB002-1-64-S63	Af	Rarely Moist	1. EPIC	19.72
LKMB002-1-64-S63	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	25.04
LKMB002-2-042-S133	Af	Rarely Moist	2. SBCC	4.51
LKMB002-2-042-S133	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	9.10
LKMB002-2-042-S133	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	9.51
LKMB002-2-042-S133	Af	Rarely Moist	6. EPIC + SMGC	14.26
LKMB002-2-042-S133	Af	Rarely Moist	1. EPIC	4.27
LKMB002-2-042-S133	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	8.82
LKMN002-3-06-S209	Al	Sebaceous	2. SBCC	24.68
LKMN002-3-06-S209	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	92.90
LKMN002-3-06-S209	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	93.05
LKMN002-3-06-S209	Al	Sebaceous	6. EPIC + SMGC	94.10
LKMN002-3-06-S209	Al	Sebaceous	1. EPIC	24.92
LKMN002-3-06-S209	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	92.63
LKMB002-1-69-S68	Oc	Sebaceous	2. SBCC	4.15
LKMB002-1-69-S68	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	6.65
LKMB002-1-69-S68	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	8.75
LKMB002-1-69-S68	Oc	Sebaceous	6. EPIC + SMGC	20.64
LKMB002-1-69-S68	Oc	Sebaceous	1. EPIC	5.62
LKMB002-1-69-S68	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	8.11
LKMB002-2-008-S99	Vf	Rarely Moist	2. SBCC	13.61
LKMB002-2-008-S99	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	25.45
LKMB002-2-008-S99	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	33.47
LKMB002-2-008-S99	Vf	Rarely Moist	6. EPIC + SMGC	42.18
LKMB002-2-008-S99	Vf	Rarely Moist	1. EPIC	20.75
LKMB002-2-008-S99	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	32.51
LKMB002-2-011-S102	Tw	Moist	2. SBCC	87.64
LKMB002-2-011-S102	Tw	Moist	4. SBCC + C. acnes ATCC 6919	87.87
LKMB002-2-011-S102	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	91.49
LKMB002-2-011-S102	Tw	Moist	6. EPIC + SMGC	92.71
LKMB002-2-011-S102	Tw	Moist	1. EPIC	73.28
LKMB002-2-011-S102	Tw	Moist	3. EPIC + C. acnes ATCC 6919	73.51
LKMN002-3-35-S238	Vf	Rarely Moist	2. SBCC	23.15
LKMN002-3-35-S238	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	65.52
LKMN002-3-35-S238	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	69.90
LKMN002-3-35-S238	Vf	Rarely Moist	6. EPIC + SMGC	79.09
LKMN002-3-35-S238	Vf	Rarely Moist	1. EPIC	26.75
LKMN002-3-35-S238	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	68.83
LKMB002-2-073-S180	Af	Rarely Moist	2. SBCC	18.73
LKMB002-2-073-S180	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	28.30
LKMB002-2-073-S180	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	38.32
LKMB002-2-073-S180	Af	Rarely Moist	6. EPIC + SMGC	57.55
LKMB002-2-073-S180	Af	Rarely Moist	1. EPIC	27.30
LKMB002-2-073-S180	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	36.78
LKMB002-2-085-S192	Al	Sebaceous	2. SBCC	23.70
LKMB002-2-085-S192	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	84.79
LKMB002-2-085-S192	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	85.49
LKMB002-2-085-S192	Al	Sebaceous	6. EPIC + SMGC	90.41
LKMB002-2-085-S192	Al	Sebaceous	1. EPIC	24.63
LKMB002-2-085-S192	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	85.26
LKMB002-2-028-S119	Al	Sebaceous	2. SBCC	22.38
LKMB002-2-028-S119	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	81.53
LKMB002-2-028-S119	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	82.29
LKMB002-2-028-S119	Al	Sebaceous	6. EPIC + SMGC	88.90
LKMB002-2-028-S119	Al	Sebaceous	1. EPIC	23.40
LKMB002-2-028-S119	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	82.11
LKMB002-1-94-S93	Ba	Sebaceous	2. SBCC	22.69
LKMB002-1-94-S93	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	84.84
LKMB002-1-94-S93	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	90.31
LKMB002-1-94-S93	Ba	Sebaceous	6. EPIC + SMGC	96.61
LKMB002-1-94-S93	Ba	Sebaceous	1. EPIC	28.35
LKMB002-1-94-S93	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	90.05
LKMB002-1-60-S59	Na	Moist	2. SBCC	42.30
LKMB002-1-60-S59	Na	Moist	4. SBCC + C. acnes ATCC 6919	61.56
LKMB002-1-60-S59	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	63.97
LKMB002-1-60-S59	Na	Moist	6. EPIC + SMGC	81.77
LKMB002-1-60-S59	Na	Moist	1. EPIC	42.28
LKMB002-1-60-S59	Na	Moist	3. EPIC + C. acnes ATCC 6919	61.41
LKMN002-3-72-S271	Af	Rarely Moist	2. SBCC	12.93
LKMN002-3-72-S271	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	34.94
LKMN002-3-72-S271	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	36.95
LKMN002-3-72-S271	Af	Rarely Moist	6. EPIC + SMGC	63.54
LKMN002-3-72-S271	Af	Rarely Moist	1. EPIC	12.61
LKMN002-3-72-S271	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	34.45
LKMB002-2-074-S181	Um	Moist	2. SBCC	67.18
LKMB002-2-074-S181	Um	Moist	4. SBCC + C. acnes ATCC 6919	67.33
LKMB002-2-074-S181	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	87.22
LKMB002-2-074-S181	Um	Moist	6. EPIC + SMGC	93.57
LKMB002-2-074-S181	Um	Moist	1. EPIC	65.64
LKMB002-2-074-S181	Um	Moist	3. EPIC + C. acnes ATCC 6919	65.79
LKMN002-3-01-S204	Ba	Sebaceous	2. SBCC	22.79
LKMN002-3-01-S204	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	78.97
LKMN002-3-01-S204	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	80.16
LKMN002-3-01-S204	Ba	Sebaceous	6. EPIC + SMGC	86.52
LKMN002-3-01-S204	Ba	Sebaceous	1. EPIC	23.91
LKMN002-3-01-S204	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	79.68
LKMN002-3-90-S289	Um	Moist	2. SBCC	61.07
LKMN002-3-90-S289	Um	Moist	4. SBCC + C. acnes ATCC 6919	61.66
LKMN002-3-90-S289	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	70.04
LKMN002-3-90-S289	Um	Moist	6. EPIC + SMGC	88.10
LKMN002-3-90-S289	Um	Moist	1. EPIC	41.82
LKMN002-3-90-S289	Um	Moist	3. EPIC + C. acnes ATCC 6919	42.41
LKMN002-3-33-S236	Oc	Sebaceous	2. SBCC	38.62
LKMN002-3-33-S236	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	57.21
LKMN002-3-33-S236	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	64.09
LKMN002-3-33-S236	Oc	Sebaceous	6. EPIC + SMGC	72.07
LKMN002-3-33-S236	Oc	Sebaceous	1. EPIC	44.52
LKMN002-3-33-S236	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	62.96
LKMN002-3-74-S273	Tw	Moist	2. SBCC	42.34
LKMN002-3-74-S273	Tw	Moist	4. SBCC + C. acnes ATCC 6919	43.41
LKMN002-3-74-S273	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	55.19
LKMN002-3-74-S273	Tw	Moist	6. EPIC + SMGC	90.03
LKMN002-3-74-S273	Tw	Moist	1. EPIC	48.04
LKMN002-3-74-S273	Tw	Moist	3. EPIC + C. acnes ATCC 6919	49.09
LKMB002-1-16-S20	Tw	Moist	2. SBCC	51.71
LKMB002-1-16-S20	Tw	Moist	4. SBCC + C. acnes ATCC 6919	64.77
LKMB002-1-16-S20	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	71.61
LKMB002-1-16-S20	Tw	Moist	6. EPIC + SMGC	82.50
LKMB002-1-16-S20	Tw	Moist	1. EPIC	51.67
LKMB002-1-16-S20	Tw	Moist	3. EPIC + C. acnes ATCC 6919	64.65
LKMN002-3-73-S272	Um	Moist	2. SBCC	63.69
LKMN002-3-73-S272	Um	Moist	4. SBCC + C. acnes ATCC 6919	64.43
LKMN002-3-73-S272	Um	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	72.89
LKMN002-3-73-S272	Um	Moist	6. EPIC + SMGC	87.09
LKMN002-3-73-S272	Um	Moist	1. EPIC	62.16
LKMN002-3-73-S272	Um	Moist	3. EPIC + C. acnes ATCC 6919	62.89
LKMN002-3-80-S279	Vf	Rarely Moist	2. SBCC	27.92
LKMN002-3-80-S279	Vf	Rarely Moist	4. SBCC + C. acnes ATCC 6919	52.89
LKMN002-3-80-S279	Vf	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	74.58
LKMN002-3-80-S279	Vf	Rarely Moist	6. EPIC + SMGC	85.81
LKMN002-3-80-S279	Vf	Rarely Moist	1. EPIC	47.48
LKMN002-3-80-S279	Vf	Rarely Moist	3. EPIC + C. acnes ATCC 6919	72.26
LKMN002-3-32-S235	Na	Moist	2. SBCC	49.13
LKMN002-3-32-S235	Na	Moist	4. SBCC + C. acnes ATCC 6919	71.87
LKMN002-3-32-S235	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	76.29
LKMN002-3-32-S235	Na	Moist	6. EPIC + SMGC	85.61
LKMN002-3-32-S235	Na	Moist	1. EPIC	50.78
LKMN002-3-32-S235	Na	Moist	3. EPIC + C. acnes ATCC 6919	73.33
LKMB002-1-39-S43	Af	Rarely Moist	2. SBCC	19.66
LKMB002-1-39-S43	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	54.01
LKMB002-1-39-S43	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	58.19
LKMB002-1-39-S43	Af	Rarely Moist	6. EPIC + SMGC	70.56
LKMB002-1-39-S43	Af	Rarely Moist	1. EPIC	22.16
LKMB002-1-39-S43	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	56.26
LKMN002-3-18-S221	Ba	Sebaceous	2. SBCC	22.53
LKMN002-3-18-S221	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	92.85
LKMN002-3-18-S221	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	93.27
LKMN002-3-18-S221	Ba	Sebaceous	6. EPIC + SMGC	92.75
LKMN002-3-18-S221	Ba	Sebaceous	1. EPIC	23.22
LKMN002-3-18-S221	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	93.02
LKMN002-3-50-S249	Na	Moist	2. SBCC	50.14
LKMN002-3-50-S249	Na	Moist	4. SBCC + C. acnes ATCC 6919	56.78
LKMN002-3-50-S249	Na	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	65.90
LKMN002-3-50-S249	Na	Moist	6. EPIC + SMGC	79.13
LKMN002-3-50-S249	Na	Moist	1. EPIC	54.95
LKMN002-3-50-S249	Na	Moist	3. EPIC + C. acnes ATCC 6919	61.57
LKMB002-2-070-S177	Oc	Sebaceous	2. SBCC	4.72
LKMB002-2-070-S177	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	10.55
LKMB002-2-070-S177	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	11.32
LKMB002-2-070-S177	Oc	Sebaceous	6. EPIC + SMGC	74.82
LKMB002-2-070-S177	Oc	Sebaceous	1. EPIC	4.95
LKMB002-2-070-S177	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	10.74
LKMB002-2-014-S105	Oc	Sebaceous	2. SBCC	34.97
LKMB002-2-014-S105	Oc	Sebaceous	4. SBCC + C. acnes ATCC 6919	84.01
LKMB002-2-014-S105	Oc	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	86.65
LKMB002-2-014-S105	Oc	Sebaceous	6. EPIC + SMGC	93.10
LKMB002-2-014-S105	Oc	Sebaceous	1. EPIC	37.43
LKMB002-2-014-S105	Oc	Sebaceous	3. EPIC + C. acnes ATCC 6919	86.12
LKMB002-1-80-S79	Af	Rarely Moist	2. SBCC	19.01
LKMB002-1-80-S79	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	23.19
LKMB002-1-80-S79	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	28.16
LKMB002-1-80-S79	Af	Rarely Moist	6. EPIC + SMGC	49.53
LKMB002-1-80-S79	Af	Rarely Moist	1. EPIC	20.58
LKMB002-1-80-S79	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	24.74
LKMN002-3-43-S242	Ba	Sebaceous	2. SBCC	24.03
LKMN002-3-43-S242	Ba	Sebaceous	4. SBCC + C. acnes ATCC 6919	85.19
LKMN002-3-43-S242	Ba	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	89.07
LKMN002-3-43-S242	Ba	Sebaceous	6. EPIC + SMGC	92.04
LKMN002-3-43-S242	Ba	Sebaceous	1. EPIC	27.98
LKMN002-3-43-S242	Ba	Sebaceous	3. EPIC + C. acnes ATCC 6919	88.68
LKMN002-3-67-S266	Al	Sebaceous	2. SBCC	25.54
LKMN002-3-67-S266	Al	Sebaceous	4. SBCC + C. acnes ATCC 6919	94.98
LKMN002-3-67-S266	Al	Sebaceous	5. EPIC + SBCC + C. acnes ATCC 6919	95.11
LKMN002-3-67-S266	Al	Sebaceous	6. EPIC + SMGC	95.63
LKMN002-3-67-S266	Al	Sebaceous	1. EPIC	26.08
LKMN002-3-67-S266	Al	Sebaceous	3. EPIC + C. acnes ATCC 6919	95.00
LKMB002-2-051-S142	Af	Rarely Moist	2. SBCC	24.20
LKMB002-2-051-S142	Af	Rarely Moist	4. SBCC + C. acnes ATCC 6919	31.54
LKMB002-2-051-S142	Af	Rarely Moist	5. EPIC + SBCC + C. acnes ATCC 6919	42.58
LKMB002-2-051-S142	Af	Rarely Moist	6. EPIC + SMGC	62.57
LKMB002-2-051-S142	Af	Rarely Moist	1. EPIC	32.77
LKMB002-2-051-S142	Af	Rarely Moist	3. EPIC + C. acnes ATCC 6919	40.06
LKMB002-1-74-S73	Tw	Moist	2. SBCC	61.00
LKMB002-1-74-S73	Tw	Moist	4. SBCC + C. acnes ATCC 6919	63.91
LKMB002-1-74-S73	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	69.40
LKMB002-1-74-S73	Tw	Moist	6. EPIC + SMGC	77.51
LKMB002-1-74-S73	Tw	Moist	1. EPIC	63.76
LKMB002-1-74-S73	Tw	Moist	3. EPIC + C. acnes ATCC 6919	66.65
LKMN002-3-65-S264	Tw	Moist	2. SBCC	88.60
LKMN002-3-65-S264	Tw	Moist	4. SBCC + C. acnes ATCC 6919	88.73
LKMN002-3-65-S264	Tw	Moist	5. EPIC + SBCC + C. acnes ATCC 6919	91.55
LKMN002-3-65-S264	Tw	Moist	6. EPIC + SMGC	94.53
LKMN002-3-65-S264	Tw	Moist	1. EPIC	77.85
LKMN002-3-65-S264	Tw	Moist	3. EPIC + C. acnes ATCC 6919	77.97
LKMB002-1-51-S156	Na	Moist	2. SBCC	60.39
LKMB002-1-51-S156	Na	Moist	4. SBCC + C. acnes ATCC 6919	71.62
