Strain ID	Other ID	Genome accession	Host ID	Host category	Body site
LK1342	p3-SID1177	NA	KHID91	Healthy Skin	Occiput
LK1003	p3-SID1426	NA	KHID132	Healthy Skin	Volar forearm
LK1219	p3-SID1758	NA	KHID158	Healthy Skin	Umbilicus
LK1254	p3-SID1729	NA	KHID158	Healthy Skin	Umbilicus
LK1265	p3-SID1760	NA	KHID158	Healthy Skin	Umbilicus
LK594	p3-SID883	NA	KHID45	Healthy Skin	Back
LK600	p3-SID815	NA	KHID79	Healthy Skin	Antecubital fossa
LK601	p3-SID816	NA	KHID79	Healthy Skin	Antecubital fossa
LK615	p3-SID774	NA	KHID77	Healthy Skin	Back
LK616	p3-SID840	NA	KHID78	Healthy Skin	Volar forearm
LK620	p3-SID666	NA	KHID60	Healthy Skin	Occiput
LK625	p3-SID789	NA	KHID74	Healthy Skin	Alar crease
LK637	p3-SID853	NA	KHID79	Healthy Skin	Antecubital fossa
LK674	p3-SID769	NA	KHID78	Healthy Skin	Volar forearm
LK834	p3-SID1127	NA	KHID105	Healthy Skin	Nares
LK835	p3-SID1218	NA	KHID112	Healthy Skin	Alar crease
LK837	p3-SID1210	NA	KHID112	Healthy Skin	Alar crease
LK849	p3-SID1279	NA	KHID91	Healthy Skin	Occiput
LK853	p3-SID1283	NA	KHID91	Healthy Skin	Occiput
LK857	p3-SID1274	NA	KHID88	Healthy Skin	Toe web space
LK861	p3-SID1280	NA	KHID91	Healthy Skin	Occiput
LK554	p3-SID688	NA	KHID69	Healthy Skin	Back
LK592	p3-SID885	NA	KHID50	Healthy Skin	Alar crease
LK599	p3-SID841	NA	KHID78	Healthy Skin	Volar forearm
LK609	p3-SID820	NA	KHID79	Healthy Skin	Antecubital fossa
LK611	p3-SID839	NA	KHID78	Healthy Skin	Volar forearm
LK613	p3-SID817	NA	KHID79	Healthy Skin	Antecubital fossa
LK628	p3-SID894	NA	KHID68	Healthy Skin	Occiput
LK634	p3-SID839	NA	KHID78	Healthy Skin	Volar forearm
LK708	p3-SID806	NA	KHID74	Healthy Skin	Alar crease
LK711	p3-SID634	NA	KHID52	Healthy Skin	Occiput
LK717	p3-SID898	NA	KHID65	Healthy Skin	Toe web space
LK721	p3-SID814	NA	KHID79	Healthy Skin	Antecubital fossa
LK723	p3-SID814	NA	KHID79	Healthy Skin	Antecubital fossa
LK725	p3-SID804	NA	KHID74	Healthy Skin	Alar crease
LK891	p3-SID898	NA	KHID65	Healthy Skin	Toe web space
LK893	p3-SID796	NA	KHID74	Healthy Skin	Alar crease
LK1307	p3-SID1180	NA	KHID91	Healthy Skin	Occiput
LK1327	p3-SID969	NA	KHID90	Healthy Skin	Nares
LK1343	p3-SID1178	NA	KHID91	Healthy Skin	Occiput
LK965	p3-SID1434	NA	KHID140	Healthy Skin	Volar forearm
LK999	p3-SID1425	NA	KHID131	Healthy Skin	Back
LK1373	p3-SID603	NA	KHID58	Healthy Skin	Alar crease
LK1032	p3-SID1132	NA	KHID106	Healthy Skin	Occiput
LK1033	p3-SID1372	NA	KHID144	Healthy Skin	Alar crease
LK1035	p3-SID1375	NA	KHID144	Healthy Skin	Alar crease
LK1071	p3-SID1364	NA	KHID144	Healthy Skin	Alar crease
LK1087	p3-SID1567	NA	KHID140	Healthy Skin	Volar forearm
LK1097	p3-SID1617	NA	KHID157	Healthy Skin	Antecubital fossa
LK1100	p3-SID1551	NA	KHID154	Healthy Skin	Occiput
LK1101	p3-SID1555	NA	KHID140	Healthy Skin	Volar forearm
LK1109	p3-SID1591	NA	KHID158	Healthy Skin	Umbilicus
LK1114	p3-SID1910	NA	KHID148	Healthy Skin	Volar forearm
LK1115	p3-SID1448	NA	KHID141	Healthy Skin	Antecubital fossa
LK1123	p3-SID1458	NA	KHID124	Healthy Skin	Volar forearm
LK1126	p3-SID1462	NA	KHID124	Healthy Skin	Volar forearm
LK1129	p3-SID1510	NA	KHID140	Healthy Skin	Volar forearm
LK1130	p3-SID1513	NA	KHID140	Healthy Skin	Volar forearm
LK1132	p3-SID1502	NA	KHID156	Healthy Skin	Volar forearm
LK1135	p3-SID1571	NA	KHID122	Healthy Skin	Occiput
LK1142	p3-SID1588	NA	KHID130	Healthy Skin	Occiput
LK1143	p3-SID1574	NA	KHID123	Healthy Skin	Back
LK1146	p3-SID1577	NA	KHID123	Healthy Skin	Back
LK1149	p3-SID1557	NA	KHID140	Healthy Skin	Volar forearm
LK1150	p3-SID1563	NA	KHID138	Healthy Skin	Occiput
