Strain ID	Other ID	Genome accession	Host ID	Host category	Body site
LK630	p3-SID772	GCF_025146185.1	KHID77	Healthy Skin	Back
LK1302	p3-SID1351	GCF_025152195.1	KHID144	Healthy Skin	Alar crease
LK938	p3-SID1200	GCF_025144125.1	KHID111	Healthy Skin	Toe web space
LK1077	p3-SID1639	GCF_025151115.1	KHID136	Healthy Skin	Alar crease
LK1080	p3-SID1644	GCF_025151025.1	KHID136	Healthy Skin	Alar crease
LK1082	p3-SID1646	GCF_025150985.1	KHID137	Healthy Skin	Nares
LK1245	p3-SID1680	GCF_025150875.1	KHID136	Healthy Skin	Alar crease
LK1252	p3-SID1727	GCF_025149545.1	KHID158	Healthy Skin	Umbilicus
LK1351	p3-SID955	GCF_025144805.1	KHID90	Healthy Skin	Nares
LK522	p3-SID877	GCF_025145325.1	KHID64	Healthy Skin	Umbilicus
LK557	p3-SID715	GCA_025146485.1	KHID40	Healthy Skin	Umbilicus
LK1288	p3-SID1823	GCF_025149405.1	KHID137	Healthy Skin	Nares
LK1257	p3-SID1716	GCF_025150725.1	KHID147	Healthy Skin	Back
LK1386	p3-SID2517	GCF_025148405.1	KHID48	Healthy Skin	Umbilicus
LK1128	p3-SID1508	GCF_025149825.1	KHID140	Healthy Skin	Volar forearm
LK538	p3-SID813	GCF_025150145.1	KHID77	Healthy Skin	Back
LK679	p3-SID812	GCF_025145875.1	KHID77	Healthy Skin	Back
LK1311	p3-SID1673	GCF_025150925.1	KHID135	Healthy Skin	Toe web space
LK1118	p3-SID1632	GCF_025151145.1	KHID155	Healthy Skin	Back
LK1279	p3-SID1799	GCF_025149435.1	KHID149	Healthy Skin	Antecubital fossa
LK1176	p3-SID1598	GCF_025151395.1	KHID151	Healthy Skin	Toe web space
LK1000	p3-SID1428	GCF_025149945.1	KHID134	Healthy Skin	Umbilicus
LK960	p3-SID1433	GCF_025151625.1	KHID139	Healthy Skin	Back
LK572	p3-SID917	GCF_025145075.1	KHID68	Healthy Skin	Occiput
LK1237	p3-SID2490	GCF_025150305.1	KHID122	Healthy Skin	Occiput
LK1250	p3-SID1724	GCF_025149565.1	KHID157	Healthy Skin	Antecubital fossa
LK579	p3-SID884	GCF_025145205.1	KHID45	Healthy Skin	Back
LK698	p3-SID882	GCF_025145235.1	KHID45	Healthy Skin	Back
LK478	p3-SID866	GCF_025145565.1	KHID71	Healthy Skin	Antecubital fossa
LK1093	p3-SID1518	GCF_025149685.1	KHID143	Healthy Skin	Toe web space
LK1246	p3-SID1704	GCF_025149645.1	KHID146	Healthy Skin	Occiput
LK1021	p3-SID1383	GCF_025151745.1	KHID143	Healthy Skin	Toe web space
LK1055	p3-SID1414	GCF_025151645.1	KHID127	Healthy Skin	Toe web space
LK1120	p3-SID1455	GCF_025149885.1	KHID124	Healthy Skin	Volar forearm
LK934	p3-SID1135	GCF_025144265.1	KHID105	Healthy Skin	Nares
LK1002	p3-SID1338	GCA_025152265.1	KHID125	Healthy Skin	Antecubital fossa
LK1008	p3-SID1424	GCA_025149905.1	KHID130	Healthy Skin	Occiput
LK1009	p3-SID1373	GCA_025151985.1	KHID144	Healthy Skin	Alar crease
LK1012	p3-SID1423	GCA_025151605.1	KHID129	Healthy Skin	Nares
LK1018	p3-SID1337	GCA_025152235.1	KHID125	Healthy Skin	Antecubital fossa
LK1019	p3-SID1412	GCA_025151665.1	KHID125	Healthy Skin	Antecubital fossa
LK1022	p3-SID1333	GCA_025143805.1	KHID125	Healthy Skin	Antecubital fossa
LK1026	p3-SID1335	GCA_025152305.1	KHID125	Healthy Skin	Antecubital fossa
LK1036	p3-SID1891	GCA_025149145.1	KHID132	Healthy Skin	Volar forearm
LK1049	p3-SID1876	GCA_025149225.1	KHID131	Healthy Skin	Back
LK1053	p3-SID1884	GCA_025149205.1	KHID131	Healthy Skin	Back
LK1056	p3-SID1877	GCA_025149245.1	KHID131	Healthy Skin	Back
LK1072	p3-SID1843	GCA_025149315.1	KHID132	Healthy Skin	Volar forearm
LK1073	p3-SID1889	GCA_025149165.1	KHID132	Healthy Skin	Volar forearm
LK1090	p3-SID1582	GCA_025151475.1	KHID130	Healthy Skin	Occiput
LK1091	p3-SID1516	GCA_025149745.1	KHID143	Healthy Skin	Toe web space
LK1099	p3-SID1548	GCA_025149725.1	KHID154	Healthy Skin	Occiput
LK1106	p3-SID1474	GCA_025149865.1	KHID124	Healthy Skin	Volar forearm
LK1113	p3-SID1600	GCA_025151325.1	KHID151	Healthy Skin	Toe web space
LK1117	p3-SID1622	GCA_025151235.1	KHID155	Healthy Skin	Back
LK1145	p3-SID1576	GCA_025151465.1	KHID123	Healthy Skin	Back
LK1147	p3-SID1578	GCA_025151425.1	KHID123	Healthy Skin	Back
LK1173	p3-SID1296	GCA_025143845.1	KHID98	Healthy Skin	Occiput
LK1207	p3-SID1705	GCA_025149605.1	KHID146	Healthy Skin	Occiput
LK1208	p3-SID1706	GCA_025150785.1	KHID146	Healthy Skin	Occiput
LK1224	p3-SID1787	GCA_025150505.1	KHID148	Healthy Skin	Volar forearm
LK1231	p3-SID1805	GCA_025149425.1	KHID149	Healthy Skin	Antecubital fossa
LK1274	p3-SID1781	GCA_025150575.1	KHID148	Healthy Skin	Volar forearm
LK1275	p3-SID1783	GCA_025150545.1	KHID148	Healthy Skin	Volar forearm
LK1306	p3-SID980	GCA_025144645.1	KHID85	Healthy Skin	Volar forearm
LK1330	p3-SID996	GCA_025144585.1	KHID116	Healthy Skin	Volar forearm
LK1334	p3-SID1106	GCA_025144325.1	KHID113	Healthy Skin	Nares
LK1335	p3-SID1002	GCA_025152565.1	KHID116	Healthy Skin	Volar forearm
LK1379	p3-SID2510	GCA_025148525.1	KHID74	Healthy Skin	Alar crease
LK1380	p3-SID2511	GCA_025148545.1	KHID78	Healthy Skin	Volar forearm
LK1382	p3-SID2513	GCA_025148505.1	KHID78	Healthy Skin	Volar forearm
LK1383	p3-SID2514	GCA_025148465.1	KHID78	Healthy Skin	Volar forearm
LK1384	p3-SID2515	GCA_025148475.1	KHID78	Healthy Skin	Volar forearm
LK1390	p3-SID2521	GCA_025148385.1	KHID76	Healthy Skin	Occiput
LK1393	p3-SID2524	GCA_025148365.1	KHID76	Healthy Skin	Occiput
LK408	p3-SID899	GCA_025145045.1	KHID65	Healthy Skin	Toe web space
LK409	p3-SID868	GCA_025145445.1	KHID71	Healthy Skin	Antecubital fossa
LK419	p3-SID631	GCA_025146905.1	KHID52	Healthy Skin	Occiput
LK426	p3-SID888	GCA_025145055.1	KHID69	Healthy Skin	Back
LK441	p3-SID810	GCA_025145885.1	KHID77	Healthy Skin	Back
LK443	p3-SID750	GCA_025143005.1	KHID31	Healthy Skin	Antecubital fossa
LK455	p3-SID723	GCA_025146515.1	KHID34	Healthy Skin	Alar crease
LK467	p3-SID733	GCA_025143165.1	KHID30	Healthy Skin	Volar forearm
LK542	p3-SID630	GCA_025146945.1	KHID52	Healthy Skin	Occiput
LK553	p3-SID690	GCA_025146715.1	KHID57	Healthy Skin	Toe web space
LK569	p3-SID709	GCA_025146655.1	KHID29	Healthy Skin	Back
LK661	p3-SID726	GCA_025146505.1	KHID30	Healthy Skin	Volar forearm
LK697	p3-SID627	GCA_025150165.1	KHID70	Healthy Skin	Volar forearm
LK705	p3-SID783	GCA_025146165.1	KHID78	Healthy Skin	Volar forearm
LK719	p3-SID588	GCA_025147055.1	KHID55	Healthy Skin	Antecubital fossa
LK1007	p3-SID1420	GCA_025151655.1	KHID127	Healthy Skin	Toe web space
LK1014	p3-SID1334	GCA_025152335.1	KHID125	Healthy Skin	Antecubital fossa
LK1025	p3-SID1356	GCA_025152085.1	KHID144	Healthy Skin	Alar crease
LK1048	p3-SID1866	GCA_025149305.1	KHID130	Healthy Skin	Occiput
LK1050	p3-SID1863	GCA_025149325.1	KHID130	Healthy Skin	Occiput
LK1051	p3-SID1865	GCA_025150345.1	KHID130	Healthy Skin	Occiput
LK1070	p3-SID1875	GCA_025149265.1	KHID131	Healthy Skin	Back
LK1104	p3-SID1472	GCA_025151525.1	KHID124	Healthy Skin	Volar forearm
LK1105	p3-SID1473	GCA_025149845.1	KHID124	Healthy Skin	Volar forearm
LK1121	p3-SID1456	GCA_025151565.1	KHID124	Healthy Skin	Volar forearm
LK1159	p3-SID1509	GCA_025149805.1	KHID140	Healthy Skin	Volar forearm
LK1206	p3-SID1703	GCA_025150815.1	KHID146	Healthy Skin	Occiput
LK1392	p3-SID2523	GCA_025148345.1	KHID76	Healthy Skin	Occiput
LK1397	p3-SID2528	GCA_025148315.1	KHID76	Healthy Skin	Occiput
LK1400	p3-SID2531	GCA_025148265.1	KHID76	Healthy Skin	Occiput
LK1402	p3-SID2533	GCA_025148245.1	KHID78	Healthy Skin	Volar forearm
LK400	p3-SID891	GCA_025150045.1	KHID72	Healthy Skin	Umbilicus
LK402	p3-SID893	GCA_025144965.1	KHID68	Healthy Skin	Occiput
LK410	p3-SID869	GCA_025145465.1	KHID70	Healthy Skin	Volar forearm
LK412	p3-SID861	GCA_025145605.1	KHID47	Healthy Skin	Antecubital fossa
LK427	p3-SID765	GCA_025146285.1	KHID78	Healthy Skin	Volar forearm
LK430	p3-SID675	GCA_025146745.1	KHID63	Healthy Skin	Antecubital fossa
LK508	p3-SID653	GCA_025166875.1	KHID67	Healthy Skin	Nares
LK517	p3-SID732	GCA_025146385.1	KHID30	Healthy Skin	Volar forearm
LK540	p3-SID793	GCA_025146045.1	KHID74	Healthy Skin	Alar crease
LK566	p3-SID619	GCA_025147025.1	KHID66	Healthy Skin	Alar crease
LK604	p3-SID875	GCA_025145525.1	KHID56	Healthy Skin	Umbilicus
LK694	p3-SID625	GCA_025143245.1	KHID62	Healthy Skin	Volar forearm
LK792	p3-SID1079	GCA_025152385.1	KHID83	Healthy Skin	Occiput
LK941	p3-SID797	GCA_025145995.1	KHID74	Healthy Skin	Alar crease
LK518	p3-SID767	GCF_025146225.1	KHID78	Healthy Skin	Volar forearm
LK1347	p3-SID970	GCF_025144765.1	KHID90	Healthy Skin	Nares
LK1086	p3-SID1566	GCF_025143745.1	KHID140	Healthy Skin	Volar forearm
LK1244	p3-SID1678	GCF_025143585.1	KHID136	Healthy Skin	Alar crease
LK1259	p3-SID1735	GCF_025143565.1	KHID138	Healthy Skin	Occiput
LK1263	p3-SID1741	GCF_025150685.1	KHID138	Healthy Skin	Occiput
LK1282	p3-SID1811	GCF_025150385.1	KHID137	Healthy Skin	Nares
LK1285	p3-SID1829	GCF_025150325.1	KHID138	Healthy Skin	Occiput
LK1287	p3-SID1817	GCF_025150355.1	KHID137	Healthy Skin	Nares
LK1281	p3-SID1808	GCF_025150395.1	KHID137	Healthy Skin	Nares
LK1284	p3-SID1828	GCF_025149365.1	KHID138	Healthy Skin	Occiput
LK1112	p3-SID1597	GCA_025143705.1	KHID151	Healthy Skin	Toe web space
LK945	p3-SID1303	GCF_025152325.1	KHID108	Healthy Skin	Volar forearm
LK1289	p3-SID1241	GCF_025144025.1	KHID103	Healthy Skin	Toe web space
LK931	p3-SID1140	GCF_025144255.1	KHID92	Healthy Skin	Back
LK1358	p3-SID1194	GCF_025144155.1	KHID117	Healthy Skin	Antecubital fossa
LK946	p3-SID1145	GCF_025144245.1	KHID92	Healthy Skin	Back
LK952	p3-SID1056	GCF_025152525.1	KHID119	Healthy Skin	Toe web space
LK948	p3-SID1129	GCF_025144305.1	KHID105	Healthy Skin	Nares
LK434	p3-SID879	GCF_025145255.1	KHID48	Healthy Skin	Umbilicus
LK444	p3-SID751	GCF_025146405.1	KHID32	Healthy Skin	Umbilicus
LK1348	p3-SID973	GCF_025144565.1	KHID94	Healthy Skin	Antecubital fossa
LK488	p3-SID752	GCF_025146395.1	KHID32	Healthy Skin	Umbilicus
LK935	p3-SID1263	GCF_025143905.1	KHID102	Healthy Skin	Umbilicus
LK1134	p3-SID1570	GCF_025151445.1	KHID122	Healthy Skin	Occiput
LK930	p3-SID1220	GCA_025144085.1	KHID86	Healthy Skin	Antecubital fossa
LK561	p3-SID581	GCF_025147045.1	KHID67	Healthy Skin	Nares
LK465	p3-SID764	GCF_025146235.1	KHID75	Healthy Skin	Nares
LK466	p3-SID763	GCF_025146355.1	KHID75	Healthy Skin	Nares
LK1030	p3-SID1430	GCF_025151585.1	KHID136	Healthy Skin	Alar crease
LK1041	p3-SID1427	GCF_025149955.1	KHID133	Healthy Skin	Antecubital fossa
LK1059	p3-SID1347	GCF_025152175.1	KHID143	Healthy Skin	Toe web space
LK1239	p3-SID1042	GCF_025144435.1	KHID118	Healthy Skin	Umbilicus
LK1269	p3-SID1772	GCF_025149505.1	KHID135	Healthy Skin	Toe web space
LK1272	p3-SID1776	GCF_025149485.1	KHID135	Healthy Skin	Toe web space
LK1346	p3-SID982	GCF_025144605.1	KHID85	Healthy Skin	Volar forearm
LK1366	p3-SID1019	GCF_025152465.1	KHID116	Healthy Skin	Volar forearm
LK1367	p3-SID1026	GCF_025144475.1	KHID115	Healthy Skin	Back
LK411	p3-SID870	GCF_025145405.1	KHID70	Healthy Skin	Volar forearm
LK432	p3-SID792	GCF_025146075.1	KHID74	Healthy Skin	Alar crease
LK519	p3-SID766	GCF_025146265.1	KHID78	Healthy Skin	Volar forearm
LK586	p3-SID921	GCF_025144815.1	KHID74	Healthy Skin	Alar crease
LK672	p3-SID845	GCF_025145725.1	KHID79	Healthy Skin	Antecubital fossa
LK687	p3-SID798	GCF_025146125.1	KHID74	Healthy Skin	Alar crease
LK871	p3-SID1306	GCF_025150005.1	KHID108	Healthy Skin	Volar forearm
LK936	p3-SID1243	GCF_025143955.1	KHID112	Healthy Skin	Alar crease
LK942	p3-SID1246	GCF_025143945.1	KHID112	Healthy Skin	Alar crease
LK950	p3-SID1015	GCF_025152505.1	KHID115	Healthy Skin	Back
LK955	p3-SID1244	GCF_025143995.1	KHID112	Healthy Skin	Alar crease
LK956	p3-SID1224	GCF_025144095.1	KHID117	Healthy Skin	Antecubital fossa
LK1270	p3-SID1774	GCF_025150595.1	KHID135	Healthy Skin	Toe web space
LK1360	p3-SID1027	GCF_025144425.1	KHID115	Healthy Skin	Back
LK1362	p3-SID1008	GCF_025152545.1	KHID115	Healthy Skin	Back
LK700	p3-SID830	GCF_025145745.1	KHID76	Healthy Skin	Occiput
LK951	p3-SID1062	GCF_025144365.1	KHID119	Healthy Skin	Toe web space
LK1006	p3-SID1371	GCF_025151825.1	KHID144	Healthy Skin	Alar crease
LK1017	p3-SID1362	GCF_025152065.1	KHID144	Healthy Skin	Alar crease
LK1031	p3-SID1363	GCF_025152095.1	KHID144	Healthy Skin	Alar crease
LK1046	p3-SID1900	GCF_025149095.1	KHID147	Healthy Skin	Back
LK1092	p3-SID1517	GCF_025151505.1	KHID143	Healthy Skin	Toe web space
LK1247	p3-SID1710	GCF_025149585.1	KHID147	Healthy Skin	Back
LK1249	p3-SID1715	GCF_025150765.1	KHID147	Healthy Skin	Back
LK1256	p3-SID1789	GCF_025150495.1	KHID149	Healthy Skin	Antecubital fossa
LK1266	p3-SID1762	GCF_025150665.1	KHID145	Healthy Skin	Nares
LK1267	p3-SID1766	GCF_025150625.1	KHID145	Healthy Skin	Nares
LK1277	p3-SID1786	GCF_025150455.1	KHID148	Healthy Skin	Volar forearm
LK1278	p3-SID1796	GCF_025150485.1	KHID149	Healthy Skin	Antecubital fossa
LK439	p3-SID800	GCF_025145915.1	KHID74	Healthy Skin	Alar crease
LK639	p3-SID826	GCF_025145775.1	KHID76	Healthy Skin	Occiput
LK984	p3-SID1378	GCF_025151785.1	KHID144	Healthy Skin	Alar crease
LK1268	p3-SID1770	GCF_025150635.1	KHID145	Healthy Skin	Nares
LK1283	p3-SID1825	GCF_025149385.1	KHID138	Healthy Skin	Occiput
LK1312	p3-SID1701	GCF_025150845.1	KHID146	Healthy Skin	Occiput
LK970	p3-SID1377a	GCF_025151925.1	KHID144	Healthy Skin	Alar crease
LK975	p3-SID1379	GCF_025151765.1	KHID144	Healthy Skin	Alar crease
LK949	p3-SID1051	GCF_025144405.1	KHID119	Healthy Skin	Toe web space
LK1321	p3-SID1063	GCF_025144375.1	KHID119	Healthy Skin	Toe web space
LK1054	p3-SID1431	GCF_025143765.1	KHID137	Healthy Skin	Nares
LK1188	p3-SID1156	GCF_025144225.1	KHID89	Healthy Skin	Alar crease
LK953	p3-SID1327	GCF_025143865.1	KHID81	Healthy Skin	Alar crease
LK421	p3-SID743	GCF_025143605.1	KHID33	Healthy Skin	Toe web space
LK485	p3-SID741	GCF_025143125.1	KHID33	Healthy Skin	Toe web space
LK666	p3-SID807	GCF_025145945.1	KHID74	Healthy Skin	Alar crease
LK668	p3-SID809	GCF_025142945.1	KHID74	Healthy Skin	Alar crease
LK669	p3-SID773	GCF_025146275.1	KHID77	Healthy Skin	Back
LK671	p3-SID704	GCF_025146605.1	KHID43	Healthy Skin	Nares
LK716	p3-SID847	GCF_025145755.1	KHID79	Healthy Skin	Antecubital fossa
LK464	p3-SID801	GCF_025142885.1	KHID74	Healthy Skin	Alar crease
LK712	p3-SID844	GCF_025150115.1	KHID79	Healthy Skin	Antecubital fossa
LK1102	p3-SID1558	GCF_025149665.1	KHID155	Healthy Skin	Back
LK1172	p3-SID1628	GCF_025151205.1	KHID155	Healthy Skin	Back
LK1204	p3-SID1692	GCF_025150805.1	KHID146	Healthy Skin	Occiput
LK405	p3-SID896	GCF_025150025.1	KHID64	Healthy Skin	Umbilicus
LK479	p3-SID867	GCF_025142895.1	KHID71	Healthy Skin	Antecubital fossa
LK1034	p3-SID1389	GCF_025151705.1	KHID129	Healthy Skin	Nares
LK524	p3-SID654	GCF_025146865.1	KHID67	Healthy Skin	Nares
LK729	p3-SID1016	GCF_025152485.1	KHID115	Healthy Skin	Back
LK1255	p3-SID1731	GCF_025149525.1	KHID158	Healthy Skin	Umbilicus
LK1095	p3-SID1607	GCF_025151315.1	KHID152	Healthy Skin	Alar crease
LK1096	p3-SID1612	GCF_025151265.1	KHID152	Healthy Skin	Alar crease
LK1110	p3-SID1594	GCF_025151365.1	KHID154	Healthy Skin	Occiput
LK1116	p3-SID1603	GCF_025151305.1	KHID152	Healthy Skin	Alar crease
LK1136	p3-SID1655	GCF_025150995.1	KHID152	Healthy Skin	Alar crease
LK1137	p3-SID1661	GCF_025150965.1	KHID152	Healthy Skin	Alar crease
LK1138	p3-SID1662	GCF_025150945.1	KHID152	Healthy Skin	Alar crease
LK1167	p3-SID1615	GCF_025151285.1	KHID157	Healthy Skin	Antecubital fossa
LK1264	p3-SID1754	GCF_025150705.1	KHID158	Healthy Skin	Umbilicus
LK401	p3-SID892	GCF_025150055.1	KHID68	Healthy Skin	Occiput
LK445	p3-SID612	GCF_025146985.1	KHID54	Healthy Skin	Volar forearm
LK459	p3-SID728	GCF_025143145.1	KHID30	Healthy Skin	Volar forearm
LK460	p3-SID620	GCF_025143265.1	KHID62	Healthy Skin	Volar forearm
LK470	p3-SID653	GCF_025146855.1	KHID67	Healthy Skin	Nares
LK523	p3-SID719	GCF_025146465.1	KHID44	Healthy Skin	Occiput
LK533	p3-SID791	GCF_025146105.1	KHID74	Healthy Skin	Alar crease
LK588	p3-SID780	GCF_025146175.1	KHID77	Healthy Skin	Back
LK590	p3-SID584	GCF_025147125.1	KHID55	Healthy Skin	Antecubital fossa
LK593	p3-SID786	GCF_025146065.1	KHID78	Healthy Skin	Volar forearm
LK595	p3-SID790	GCF_025142865.1	KHID74	Healthy Skin	Alar crease
LK602	p3-SID818	GCF_025145815.1	KHID79	Healthy Skin	Antecubital fossa
LK605	p3-SID829	GCF_025145805.1	KHID76	Healthy Skin	Occiput
LK610	p3-SID799	GCF_025145965.1	KHID74	Healthy Skin	Alar crease
LK428	p3-SID721	GCF_025143205.1	KHID38	Healthy Skin	Volar forearm
LK417	p3-SID742	GCF_025143615.1	KHID33	Healthy Skin	Toe web space
LK489	p3-SID760	GCF_025146345.1	KHID47	Healthy Skin	Antecubital fossa
LK1015	p3-SID1418	GCF_025149985.1	KHID127	Healthy Skin	Toe web space
LK413	p3-SID855	GCF_025145625.1	KHID36	Healthy Skin	Occiput
LK414	p3-SID858	GCF_025150105.1	KHID36	Healthy Skin	Occiput
LK415	p3-SID856	GCF_025145695.1	KHID36	Healthy Skin	Occiput
LK1403	p3-SID2534	GCF_025148225.1	KHID48	Healthy Skin	Umbilicus
LK617	p3-SID713	GCF_025146585.1	KHID48	Healthy Skin	Umbilicus
LK494	p3-SID762	GCF_025143065.1	KHID35	Healthy Skin	Nares
LK704	p3-SID761	GCF_025143015.1	KHID35	Healthy Skin	Nares
LK591	p3-SID886	GCF_025145145.1	KHID50	Healthy Skin	Alar crease
LK1139	p3-SID1634	GCF_025143635.1	KHID136	Healthy Skin	Alar crease
LK1140	p3-SID1636	GCF_025151105.1	KHID136	Healthy Skin	Alar crease
LK1157	p3-SID1649	GCF_025143685.1	KHID137	Healthy Skin	Nares
LK1198	p3-SID1674	GCF_025150865.1	KHID136	Healthy Skin	Alar crease
LK1232	p3-SID1807	GCF_025150445.1	KHID137	Healthy Skin	Nares
LK1078	p3-SID1642	GCF_025151065.1	KHID136	Healthy Skin	Alar crease
LK1079	p3-SID1643	GCF_025151075.1	KHID136	Healthy Skin	Alar crease
LK500	p3-SID599	GCF_025150225.1	KHID58	Healthy Skin	Alar crease
LK501	p3-SID600	GCF_025150155.1	KHID58	Healthy Skin	Alar crease
LK525	p3-SID597	GCF_025150205.1	KHID58	Healthy Skin	Alar crease
LK526	p3-SID595	GCF_025146975.1	KHID58	Healthy Skin	Alar crease
LK527	p3-SID596	GCF_025150285.1	KHID58	Healthy Skin	Alar crease
LK894	p3-SID1236	GCF_025144035.1	KHID111	Healthy Skin	Toe web space
LK442	p3-SID701	GCF_025146685.1	KHID43	Healthy Skin	Nares
LK458	p3-SID663	GCF_025146845.1	KHID59	Healthy Skin	Nares
LK469	p3-SID656	GCF_025143185.1	KHID59	Healthy Skin	Nares
LK583	p3-SID695	GCF_025146765.1	KHID43	Healthy Skin	Nares
LK619	p3-SID664	GCF_025146805.1	KHID59	Healthy Skin	Nares
LK670	p3-SID703	GCF_025146625.1	KHID43	Healthy Skin	Nares
LK1098	p3-SID1541	GCF_025149705.1	KHID153	Healthy Skin	Nares
LK570	p3-SID696	GCF_025146705.1	KHID43	Healthy Skin	Nares
LK585	p3-SID848	NA	KHID79	Healthy Skin	Antecubital fossa
LK597	p3-SID669	NA	KHID60	Healthy Skin	Occiput
LK603	p3-SID873	NA	KHID56	Healthy Skin	Umbilicus
LK660	p3-SID708	NA	KHID29	Healthy Skin	Back
LK681	p3-SID755	NA	KHID31	Healthy Skin	Antecubital fossa
LK692	p3-SID757	NA	KHID31	Healthy Skin	Antecubital fossa
LK696	p3-SID623	NA	KHID62	Healthy Skin	Volar forearm
LK722	p3-SID787	NA	KHID74	Healthy Skin	Alar crease
LK1127	p3-SID1463	NA	KHID124	Healthy Skin	Volar forearm
LK864	p3-SID1204	NA	KHID104	Healthy Skin	Alar crease
LK429	p3-SID722	NA	KHID39	Healthy Skin	Antecubital fossa
LK495	p3-SID768	NA	KHID78	Healthy Skin	Volar forearm
LK512	p3-SID607	NA	KHID62	Healthy Skin	Volar forearm
LK706	p3-SID782	NA	KHID78	Healthy Skin	Volar forearm
LK713	p3-SID785	NA	KHID78	Healthy Skin	Volar forearm
LK718	p3-SID587	NA	KHID55	Healthy Skin	Antecubital fossa
LK1202	p3-SID1686	NA	KHID146	Healthy Skin	Occiput
LK1319	p3-SID1120	NA	KHID107	Healthy Skin	Back
LK1332	p3-SID962	NA	KHID94	Healthy Skin	Antecubital fossa
LK1156	p3-SID1584	NA	KHID130	Healthy Skin	Occiput
LK1160	p3-SID1504	NA	KHID156	Healthy Skin	Volar forearm
LK1163	p3-SID1525	NA	KHID122	Healthy Skin	Occiput
LK976	p3-SID1870	NA	KHID130	Healthy Skin	Occiput
LK1183	p3-SID950	NA	KHID94	Healthy Skin	Antecubital fossa
LK1336	p3-SID1306	NA	KHID108	Healthy Skin	Volar forearm
LK838	p3-SID1142	NA	KHID92	Healthy Skin	Back
LK870	p3-SID1229	NA	KHID111	Healthy Skin	Toe web space
LK676	p3-SID891	NA	KHID72	Healthy Skin	Umbilicus
LK897	p3-SID891	NA	KHID72	Healthy Skin	Umbilicus
LK1174	p3-SID1902	NA	KHID147	Healthy Skin	Back
LK822	p3-SID1068	NA	KHID119	Healthy Skin	Toe web space
LK912	p3-SID1248	NA	KHID112	Healthy Skin	Alar crease
LK1084	p3-SID1564	NA	KHID140	Healthy Skin	Volar forearm
LK1340	p3-SID972	NA	KHID94	Healthy Skin	Antecubital fossa
LK1349	p3-SID1172	NA	KHID86	Healthy Skin	Antecubital fossa
LK1359	p3-SID1025	NA	KHID115	Healthy Skin	Back
LK1365	p3-SID1018	NA	KHID116	Healthy Skin	Volar forearm
LK1387	p3-SID2518	NA	KHID48	Healthy Skin	Umbilicus
LK1388	p3-SID2519	NA	KHID75	Healthy Skin	Nares
LK820	p3-SID1021	NA	KHID116	Healthy Skin	Volar forearm
LK821	p3-SID1014	NA	KHID115	Healthy Skin	Back
LK827	p3-SID1300	NA	KHID117	Healthy Skin	Antecubital fossa
LK855	p3-SID1149	NA	KHID89	Healthy Skin	Alar crease
LK856	p3-SID1212	NA	KHID112	Healthy Skin	Alar crease
LK872	p3-SID1005	NA	KHID116	Healthy Skin	Volar forearm
LK876	p3-SID1148	NA	KHID89	Healthy Skin	Alar crease
LK877	p3-SID1130	NA	KHID105	Healthy Skin	Nares
LK447	p3-SID896	NA	KHID64	Healthy Skin	Umbilicus
LK1353	p3-SID1078	NA	KHID84	Healthy Skin	Back
LK836	p3-SID1314	NA	KHID81	Healthy Skin	Alar crease
LK1063	p3-SID1899	NA	KHID147	Healthy Skin	Back
LK823	p3-SID1258	NA	KHID88	Healthy Skin	Toe web space
LK826	p3-SID1299	NA	KHID117	Healthy Skin	Antecubital fossa
LK844	p3-SID1207	NA	KHID112	Healthy Skin	Alar crease
LK845	p3-SID1329	NA	KHID81	Healthy Skin	Alar crease
LK1354	p3-SID1079	NA	KHID83	Healthy Skin	Occiput
LK1369	p3-SID825	NA	KHID76	Healthy Skin	Occiput
LK461	p3-SID621	NA	KHID62	Healthy Skin	Volar forearm
LK858	p3-SID1206	NA	KHID104	Healthy Skin	Alar crease
LK869	p3-SID1213	NA	KHID104	Healthy Skin	Alar crease
LK1060	p3-SID1341	NA	KHID143	Healthy Skin	Toe web space
LK1184	p3-SID1250	NA	KHID103	Healthy Skin	Toe web space
LK843	p3-SID1242	NA	KHID103	Healthy Skin	Toe web space
LK854	p3-SID1232	NA	KHID111	Healthy Skin	Toe web space
LK866	p3-SID1239	NA	KHID103	Healthy Skin	Toe web space
LK1374	p3-SID602	NA	KHID58	Healthy Skin	Alar crease
LK1290	p3-SID1260	NA	KHID88	Healthy Skin	Toe web space
LK662	p3-SID734	NA	KHID40	Healthy Skin	Umbilicus
LK724	p3-SID834	NA	KHID76	Healthy Skin	Occiput
LK664	p3-SID736	NA	KHID40	Healthy Skin	Umbilicus
LK675	p3-SID805	NA	KHID74	Healthy Skin	Alar crease
LK709	p3-SID794	NA	KHID74	Healthy Skin	Alar crease
LK438	p3-SID748	NA	KHID33	Healthy Skin	Toe web space
LK454	p3-SID878	NA	KHID64	Healthy Skin	Umbilicus
LK471	p3-SID687	NA	KHID73	Healthy Skin	Toe web space
LK541	p3-SID822	NA	KHID79	Healthy Skin	Antecubital fossa
LK552	p3-SID640	NA	KHID50	Healthy Skin	Alar crease
LK567	p3-SID613	NA	KHID54	Healthy Skin	Volar forearm
LK587	p3-SID651	NA	KHID53	Healthy Skin	Back
LK622	p3-SID668	NA	KHID60	Healthy Skin	Occiput
