dataset	genus	rel_abun	prevalence
Kraken	Anoxybacillus	0.001375723	10
Kraken	Anoxybacter	6.654248089338134e-5	0
Kraken	Antarcticibacterium	4.1414014252006666e-5	0
Kraken	Antarctobacter	3.2581432573272384e-4	0
Kraken	Anthocerotibacter	2.4918929207564576e-5	0
Kraken	Apibacter	1.2993725139663352e-4	1
Kraken	Apilactobacillus	8.733013541943113e-5	0
Kraken	Aquabacter	9.602331839195532e-4	0
Kraken	Aquabacterium	0.003065272	11
Kraken	Aquaspirillum	5.383929476474238e-4	1
Kraken	Aquella	9.053121397880839e-4	4
Kraken	Aquibium	9.806980875226654e-4	3
Kraken	Aquicella	1.9957809428786105e-4	1
Kraken	Aquifex	1.1540297366348764e-5	0
Kraken	Aquihabitans	0.004064223	26
Kraken	Aquiluna	1.545210009242009e-4	0
Kraken	Aquimarina	4.0620159553487757e-4	1
Kraken	Aquirhabdus	7.858841267738079e-4	5
Kraken	Aquisalimonas	2.727405823515927e-4	0
Kraken	Aquisediminimonas	2.602410648056621e-4	0
Kraken	Aquisphaera	0.001974501	8
Kraken	Aquitalea	6.348649670304618e-4	2
Kraken	Arabiibacter	2.019976039583837e-4	0
Kraken	Arachidicoccus	2.5995022990129256e-4	1
Kraken	Arachnia	0.029509577	92
Kraken	Arcanobacterium	0.001251545	5
Kraken	Archangium	0.003882458	20
Kraken	Arcobacter	9.837358349342952e-4	3
Kraken	Arcticibacterium	9.477809693959691e-5	0
Kraken	Arenimonas	8.011980273218142e-4	3
Kraken	Aromatoleum	0.001894832	11
Kraken	Arsenicicoccus	0.001660375	8
Kraken	Arsenophonus	8.225246244827916e-4	3
Kraken	Arthrobacter	0.015215303680215671	112
Kraken	Arthrospira	2.4292077509520273e-5	0
Kraken	Asaia	3.7068320917283223e-4	0
Kraken	Asticcacaulis	2.9400935818674575e-4	0
Kraken	Athalassotoga	2.4369133051174004e-5	0
Kraken	Atlantibacter	0.025516645874698755	12
Kraken	Atopobium	7.181261988342343e-4	3
Kraken	Atribacter	1.5790693790374724e-4	1
Kraken	Aurantiacibacter	5.837812331786081e-4	2
Kraken	Aurantimicrobium	4.7265161646485457e-4	1
Kraken	Aurantimonas	0.001762619	6
Kraken	Auraticoccus	0.001626607	8
Kraken	Aureimonas	0.035687178363163874	106
Kraken	Aureliella	1.1665420328014455e-4	0
Kraken	Auritidibacter	0.001089022	2
Kraken	Austwickia	6.326754100256869e-4	0
Kraken	Avibacterium	5.087301397795683e-4	1
Kraken	Azoarcus	0.004238824	31
Kraken	Azorhizobium	0.001175598	3
Kraken	Azospira	0.004410767	34
Kraken	Azospirillum	0.006045016	45
Kraken	Azotobacter	0.001435145	5
Kraken	Bacillus	0.047220800296175904	181
Kraken	Bacterioplanes	1.9241573293408602e-4	2
Kraken	Bacteriovorax	1.3715547966232673e-4	0
Kraken	Bacteroides	0.014713756188219575	71
Kraken	Baekduia	0.002658475	16
Kraken	Barnesiella	1.425168680462648e-4	1
Kraken	Bartonella	0.034325905	54
Kraken	Basfia	0.00172675	7
Kraken	Basilea	9.594378124320615e-5	0
