BodySite	CumulativeDepth	GCFsDiscovered
Rarely_Moist_Vf	384425179.99990004	367
Rarely_Moist_Vf	395211397.99990004	376
Rarely_Moist_Vf	405194639.99990004	396
Rarely_Moist_Vf	414434169.99990004	400
Rarely_Moist_Vf	422637313.99990004	415
Rarely_Moist_Vf	430633755.99990004	424
Rarely_Moist_Vf	438578703.99990004	429
Rarely_Moist_Vf	445384881.99990004	429
Rarely_Moist_Vf	450265817.99990004	431
Rarely_Moist_Vf	454141467.99990004	433
Rarely_Moist_Vf	457321659.99990004	433
Rarely_Moist_Vf	460469771.99990004	436
Rarely_Moist_Vf	462601921.99990004	437
Rarely_Moist_Vf	464378355.99990004	437
Rarely_Moist_Vf	465817461.99990004	437
Rarely_Moist_Vf	467113339.99990004	437
Rarely_Moist_Vf	468400089.99990004	438
Sebaceous_Oc	0.0	0
Sebaceous_Oc	51280152.00002	31
Sebaceous_Oc	96579518.00004	62
Sebaceous_Oc	138181394.00006	91
Sebaceous_Oc	177252536.00006	116
Sebaceous_Oc	213723040.00006	135
Sebaceous_Oc	244729994.00002	157
Sebaceous_Oc	274935060.00008	171
Sebaceous_Oc	303392050.00008	175
Sebaceous_Oc	330814962.00005996	183
Sebaceous_Oc	357867606.00009996	209
Sebaceous_Oc	384777114.00009996	212
Sebaceous_Oc	410644700.00009996	218
Sebaceous_Oc	434587622.00013995	231
Sebaceous_Oc	456808846.00016	236
Sebaceous_Oc	478936308.00012	240
Sebaceous_Oc	500390222.00014	246
Sebaceous_Oc	521172816.00012	267
Sebaceous_Oc	541679740.0001199	268
Sebaceous_Oc	561661710.0001199	280
Sebaceous_Oc	580931136.00016	281
Sebaceous_Oc	599732100.00016	282
Sebaceous_Oc	617218962.0002	295
Sebaceous_Oc	633993956.0002	297
Sebaceous_Oc	650428800.00016	304
Sebaceous_Oc	666846356.0002	310
Sebaceous_Oc	682037232.0002401	313
Sebaceous_Oc	696098472.0002401	321
Sebaceous_Oc	708358340.0002401	326
Sebaceous_Oc	720606816.0002401	331
Sebaceous_Oc	731054550.0002401	335
Sebaceous_Oc	737757668.0002401	339
Sebaceous_Oc	742338272.0002401	340
Sebaceous_Oc	745073914.0002401	341
Sebaceous_Ba	0.0	0
Sebaceous_Ba	44837683.999960005	18
Sebaceous_Ba	85532607.99992001	32
Sebaceous_Ba	124569875.99990001	38
Sebaceous_Ba	161835825.9999	48
Sebaceous_Ba	194838467.99992	51
Sebaceous_Ba	226482225.9999	65
Sebaceous_Ba	256813143.99992	68
Sebaceous_Ba	286435099.99996	89
Sebaceous_Ba	316009845.99994	100
Sebaceous_Ba	345542647.99992	118
Sebaceous_Ba	373956905.99994004	138
Sebaceous_Ba	401911753.99990004	148
Sebaceous_Ba	428600653.99990004	156
Sebaceous_Ba	454915645.99990004	181
Sebaceous_Ba	480517729.99992007	193
Sebaceous_Ba	506040851.99990004	203
Sebaceous_Ba	531545853.99986005	205
Sebaceous_Ba	556222393.99986	212
Sebaceous_Ba	580587337.99986	235
Sebaceous_Ba	602215325.99984	246
Sebaceous_Ba	623572789.9998801	254
Sebaceous_Ba	644327879.9998801	259
Sebaceous_Ba	661667751.9998801	262
Sebaceous_Ba	673111905.9998801	277
Sebaceous_Ba	684345947.9998801	288
Sebaceous_Ba	694619553.9998801	294
Sebaceous_Ba	704434121.9998801	303
Sebaceous_Ba	713382625.9998801	357
Sebaceous_Ba	721683267.9998801	367
Sebaceous_Ba	729009821.9998801	370
Sebaceous_Ba	734649807.9998801	373
Sebaceous_Ba	739510113.9998801	375
Sebaceous_Ba	743160115.9998801	378
Moist_Tw	0.0	0
Moist_Tw	58050128.00002	17
Moist_Tw	107063343.99994	41
Moist_Tw	154155065.99993998	68
Moist_Tw	199465305.99993998	84
Moist_Tw	243647339.99993998	98
Moist_Tw	287264057.99994	109
Moist_Tw	330778443.99994	120
Moist_Tw	371917173.99994	133
Moist_Tw	412061381.99995995	147
Moist_Tw	449764211.99995995	164
Moist_Tw	484595053.99999994	171
Moist_Tw	519110803.99999994	202
Moist_Tw	553177324.0	209
Moist_Tw	586808594.0	213
Moist_Tw	618425120.00002	238
Moist_Tw	649913872.00002	261
Moist_Tw	680061563.99998	273
Moist_Tw	709581843.99998	422
Moist_Tw	738924525.99998	430
Moist_Tw	766988970.0	441
Moist_Tw	794719673.99996	478
Moist_Tw	821302597.9999399	480
Moist_Tw	847616177.9999399	486
Moist_Tw	873356699.9999199	490
Moist_Tw	896753879.9999199	569
Moist_Tw	915170823.9998999	590
Moist_Tw	932378153.9998999	590
Moist_Tw	943595087.9998999	597
Moist_Tw	944634925.9998999	598
Moist_Tw	945271531.9998999	598
