site_type	had_proportion
sebaceous	0.07658321060382917
moist	0.08624454148471616
moist	0.08458961474036851
moist	0.08421639709983268
moist	0.08678611422172453
dry	0.08255563531945441
sebaceous	0.08471144110698617
sebaceous	0.08963494132985658
sebaceous	0.08841463414634146
dry	0.09102053325160894
moist	0.09237206308336016
sebaceous	0.09096816114359974
sebaceous	0.08511337495892211
moist	0.09249057697883445
moist	0.085727969348659
moist	0.07819123881300047
moist	0.08632075471698113
moist	0.08117529880478087
moist	0.08373732921992066
sebaceous	0.08436497019715727
moist	0.07986577181208054
dry	0.08201784488675361
sebaceous	0.08208955223880597
moist	0.086024750980984
sebaceous	0.08847682119205298
dry	0.0648623425104993
moist	0.09408410548823949
sebaceous	0.08087649402390439
sebaceous	0.09051321928460342
sebaceous	0.08449117536612842
dry	0.08387563268257411
sebaceous	0.07976190476190476
dry	0.08753709198813056
moist	0.08408290965975752
sebaceous	0.08084291187739463
moist	0.08159796005099873
moist	0.08184764991896272
moist	0.07826456826882178
dry	0.07586798114016288
sebaceous	0.07634543178973717
sebaceous	0.08123370981754996
moist	0.08032786885245902
dry	0.08197424892703863
dry	0.07775768535262206
dry	0.0757439134355275
dry	0.07794589637780834
dry	0.07825700311249444
sebaceous	0.07974683544303797
sebaceous	0.07965299684542587
sebaceous	0.08216262239250745
dry	0.08055898068228524
dry	0.08192457737321196
sebaceous	0.08174386920980926
moist	0.07698887938408897
sebaceous	0.08117154811715481
dry	0.08398268398268398
moist	0.0821472143147621
sebaceous	0.07395786642761093
sebaceous	0.07976298997265269
sebaceous	0.07644444444444444
sebaceous	0.07859888936351986
sebaceous	0.07855626326963906
sebaceous	0.07541276215975011
dry	0.08063801506424458
dry	0.07863171923589515
dry	0.07953004970628107
dry	0.07589285714285714
dry	0.07711972731146144
dry	0.07808455565142364
moist	0.08092738407699038
dry	0.08167053364269142
sebaceous	0.07983942908117753
dry	0.08114961961115807
dry	0.08182220256523662
dry	0.07951598962834917
dry	0.0779777206512425
sebaceous	0.08086253369272237
sebaceous	0.08091735179575942
moist	0.08044554455445545
dry	0.08052516411378556
sebaceous	0.0807996668054977
sebaceous	0.08624316365166176
sebaceous	0.0826279725916969
dry	0.07611548556430446
sebaceous	0.07827616534740545
dry	0.07421383647798742
sebaceous	0.0807426597582038
moist	0.0776781903542467
sebaceous	0.08201623237932508
dry	0.08280254777070063
dry	0.07892527287993283
dry	0.07882599580712789
dry	0.0775975449364314
sebaceous	0.08101371001246364
dry	0.07866108786610879
moist	0.076158940397351
sebaceous	0.07587382779198636
sebaceous	0.07716324710080286
dry	0.07663410969196092
moist	0.06673209028459273
sebaceous	0.08434909800097513
moist	0.07250755287009064
dry	0.09823182711198428
moist	0.07747671464860288
dry	0.07652843095339888
sebaceous	0.08108108108108109
moist	0.08750544188071398
moist	0.08940677966101696
moist	0.0832575068243858
moist	0.08622262773722628
dry	0.07445805843543826
moist	0.07877927608232789
moist	0.07995697382574399
sebaceous	0.08476027397260275
dry	0.07964161274265803
moist	0.08556611927398444
moist	0.07869934024505183
sebaceous	0.08604954367666232
dry	0.08051033875934888
moist	0.08354755784061697
moist	0.0817810086324398
dry	0.0825524319500223
dry	0.07681755829903979
dry	0.08384279475982533
dry	0.08333333333333333
dry	0.0840373499333037
sebaceous	0.08657630083078269
dry	0.07954043305346885
sebaceous	0.08743633276740238
sebaceous	0.08203125
sebaceous	0.07946157186278767
sebaceous	0.07544642857142857
dry	0.0812043795620438
moist	0.0867858700392499
sebaceous	0.08711111111111111
moist	0.08796296296296297
sebaceous	0.09022329511164756
sebaceous	0.09223437061956827
sebaceous	0.08363095238095238
moist	0.08513667425968109
dry	0.08567251461988304
dry	0.08453133985048879
sebaceous	0.0891451068616423
sebaceous	0.08689160943565244
sebaceous	0.0873015873015873
sebaceous	0.08691646191646192
moist	0.0825242718446602
moist	0.08738828202581926
sebaceous	0.09191321499013806
sebaceous	0.07560137457044673
moist	0.10685884691848907
moist	0.10904872389791183
dry	0.08826790862719007
sebaceous	0.0877253814147018
dry	0.09476635514018691
sebaceous	0.09532374100719425
sebaceous	0.10281923714759536
moist	0.10499207606973059
dry	0.11904761904761904
moist	0.1056612422644969
moist	0.08283803863298662
sebaceous	0.08155186064924783
moist	0.07765386204047914
sebaceous	0.07872340425531915
sebaceous	0.07935855263157894
sebaceous	0.08088851634534787
moist	0.07795698924731183
sebaceous	0.07921207041072925
sebaceous	0.08147229114971051
dry	0.07526881720430108
moist	0.08082622361921868
dry	0.08532818532818533
moist	0.09046362608367886
sebaceous	0.08177379983726607
moist	0.10782122905027933
moist	0.09840310746655158
sebaceous	0.0918859649122807
sebaceous	0.10126041444135868
moist	0.09816339455351489
moist	0.10004151100041511
moist	0.0946793997271487
moist	0.10180490772662745
