Sample	SampleSubject	SampleBodySite	Taxa	Estimated_Reads
LKMB002-2-002_S161	S012	Moist_Tw	Micrococcus	5285310.9312
LKMB002-2-002_S161	S012	Moist_Tw	Cutibacterium	4694019.7228
LKMB002-2-002_S161	S012	Moist_Tw	Corynebacterium	2316161.1688
LKMB002-2-002_S161	S012	Moist_Tw	Staphylococcus	1783024.912
LKMB002-2-002_S161	S012	Moist_Tw	Other	15441763.2652
LKMN002-3-74_S273	S032	Moist_Tw	Staphylococcus	22825665.2887
LKMN002-3-74_S273	S032	Moist_Tw	Corynebacterium	1204141.61916
LKMN002-3-74_S273	S032	Moist_Tw	Cutibacterium	558054.51696
LKMN002-3-74_S273	S032	Moist_Tw	Micrococcus	271305.10188
LKMN002-3-74_S273	S032	Moist_Tw	Other	881355.47328
LKMN002-3-29_S232	S027	Moist_Um	Cutibacterium	1887184.50336
LKMN002-3-29_S232	S027	Moist_Um	Staphylococcus	455439.58032
LKMN002-3-29_S232	S027	Moist_Um	Corynebacterium	297138.98064
LKMN002-3-29_S232	S027	Moist_Um	Micrococcus	26501.74464
LKMN002-3-29_S232	S027	Moist_Um	Other	291519.19104
LKMN002-3-37_S240	S028	Moist_Um	Corynebacterium	21485282.8667
LKMN002-3-37_S240	S028	Moist_Um	Staphylococcus	3785076.78218
LKMN002-3-37_S240	S028	Moist_Um	Cutibacterium	807775.16234
LKMN002-3-37_S240	S028	Moist_Um	Micrococcus	97593.12458
LKMN002-3-37_S240	S028	Moist_Um	Other	2277078.06418
LKMN002-3-76_S275	S034	Sebaceous_Al	Cutibacterium	44905694.4041
LKMN002-3-76_S275	S034	Sebaceous_Al	Staphylococcus	2898836.16966
LKMN002-3-76_S275	S034	Sebaceous_Al	Corynebacterium	579979.48626
LKMN002-3-76_S275	S034	Sebaceous_Al	Micrococcus	57838.75938
LKMN002-3-76_S275	S034	Sebaceous_Al	Other	4620733.18056
LKMN002-3-01_S204	S024	Sebaceous_Ba	Cutibacterium	27744886.1669
LKMN002-3-01_S204	S024	Sebaceous_Ba	Staphylococcus	616940.23378
LKMN002-3-01_S204	S024	Sebaceous_Ba	Corynebacterium	68811.42866
LKMN002-3-01_S204	S024	Sebaceous_Ba	Micrococcus	51977.73152
LKMN002-3-01_S204	S024	Sebaceous_Ba	Other	1050186.43912
LKMB002-1-53_S158	S006	Sebaceous_Ba	Cutibacterium	27153382.5078
LKMB002-1-53_S158	S006	Sebaceous_Ba	Staphylococcus	56189.24448
